Episode	Title	Story	Adapted by	Director	Airdate	Exists?
101	“No Place Like Earth”	John Wyndham	Stanley Miller	Peter Potter	4 October 1965	Yes
102	“ The Counterfeit Man ”	Alan Nourse	Philip Broadley	George Spenton-Foster	11 October 1965	Yes
103	“Stranger in the Family”	David Campton	n/a	Alan Bridges	18 October 1965	Yes
104	“ The Dead Past ”	Isaac Asimov	Jeremy Paul	John Gorrie	25 October 1965	Yes
105	“ Time in Advance ”	William Tenn	Paul Erickson	Peter Sasdy	1 November 1965	Yes
106	“Come Buttercup, Come Daisy, Come...?”	Mike Watts	n/a	Paddy Russell	8 November 1965	Yes
107	“ Sucker Bait ”	Isaac Asimov	Meade Roberts	Naomi Capon	15 November 1965	Yes
108	“The Fox and the Forest”	Ray Bradbury	Terry Nation	Robin Midgeley	22 November 1965	No
109	“Andover and the Android”	Kate Wilhelm	Bruce Stewart	Alan Cooke	29 November 1965	No
110	“Some Lapse of Time”	John Brunner	Leon Griffiths	Ray Jenkins	6 December 1965	Yes
111	“Thirteen to Centaurus”	J. G. Ballard	Stanley Miller	Peter Potter	13 December 1965	Yes
112	“The Midas Plague”	Frederik Pohl	Troy Kennedy Martin	Peter Sasdy	20 December 1965	Yes
