Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1991	Alan Budi Kusuma	Huang Hua	Li Yongbo Tian Bingyi	Chung Myung-hee Hwang Hye-young	Liu Jianjun Wang Xiaoyuan
1992	Hermawan Susanto	Yao Yan	Ricky Subagja Rexy Mainaky	Yao Fen Lin Yanfen	Aryono Miranat Eliza Nathanael
1993	Joko Suprianto	Han Jingna	Rudy Gunawan Bambang Suprianto	Wu Yuhong Chen Ying	Chen Xingdong Sun Man
1995	Dong Jiong	Ye Zhaoying	Huang Zhanzhong Jiang Xin	Ge Fei Gu Jun	Peng Xinyong Chen Xingdong
1997	Dong Jiong	Gong Zhichao	Ge Cheng Tao Xiaoqiang	Ge Fei Gu Jun	Kim Dong-moon Ra Kyung-min
1999	Dong Jiong	Zhou Mi	Ha Tae-kwon Kim Dong-moon	Ge Fei Gu Jun	Liu Yong Ge Fei
2001	Xia Xuanze	Zhou Mi	Zhang Wei Zhang Jun	Zhang Jiewen Wei Yili	Liu Yong Chen Lin
2002	Wong Choong Hann	Gong Ruina	Pramote Teerawiwatana Tesana Panvisvas	Gao Ling Huang Sui	Zhang Jun Gao Ling
2003	Lin Dan	Zhou Mi	Lars Paaske Jonas Rasmussen	Gao Ling Huang Sui	Zhang Jun Gao Ling
2004	Lin Dan	Xie Xingfang	Candra Wijaya Sigit Budiarto	Yang Wei Zhang Jiewen	Jens Eriksen Mette Schjoldager
2005	Chen Hong	Zhang Ning	Candra Wijaya Sigit Budiarto	Yang Wei Zhang Jiewen	Nathan Robertson Gail Emms
2006	Chen Hong	Zhang Ning	Markis Kido Hendra Setiawan	Yang Wei Zhang Jiewen	Xie Zhongbo Zhang Yawen
2007	Bao Chunlai	Wong Mew Choo	Markis Kido Hendra Setiawan	Gao Ling Zhao Tingting	Nova Widianto Lilyana Natsir
2008	Lin Dan	Jiang Yanjiao	Jung Jae-sung Lee Yong-dae	Zhang Yawen Zhao Tingting	Lee Yong-dae Lee Hyo-jung
2009	Lin Dan	Jiang Yanjiao	Jung Jae-sung Lee Yong-dae	Tian Qing Zhang Yawen	Lee Yong-dae Lee Hyo-jung
2010	Chen Long	Jiang Yanjiao	Jung Jae-sung Lee Yong-dae	Cheng Shu Zhao Yunlei	Tao Jiaming Tian Qing
2011	Lin Dan	Wang Yihan	Mathias Boe Carsten Mogensen	Wang Xiaoli Yu Yang	Zhang Nan Zhao Yunlei
2012	Chen Long	Li Xuerui	Mathias Boe Carsten Mogensen	Wang Xiaoli Yu Yang	Xu Chen Ma Jin
