Elector	Nationality	Cardinalatial order and title	Elevated	Elevator
Kuno von Urach	Germany	Cardinal-bishop of Palestrina	Circa 1107	Paschal II
Lamberto Scannabecchi , Can.Reg.	Fagnano	Cardinal-bishop of Ostia and Velletri	1117	Paschal II
John of Crema	Crema	Cardinal-priest of S. Crisogono	Circa 1117	Paschal II
Guido Galli , O.S.B.	Italy	Cardinal-priest of S. Balbina	Circa 1099	Paschal II
Bosone	Italy	Cardinal-priest of S. Anastasia	Circa 1116	Paschal II
Corrado de Suburra	Rome	Cardinal-priest of S. Pudenziana	Ca. 1111-1114	Paschal II
Gregorio Papareschi , Can.Reg.Lat.	Rome	Cardinal-deacon of S. Angelo in Pescheria	Circa 1088 (or 1116)	Urban II (or Paschal II )
Pietro Pierleoni	Rome	Cardinal-deacon of Ss. Cosma e Damiano	Ca. 1106-1116	Paschal II
Crisogono Malcondini	Pisa	Cardinal-deacon of S. Nicola in Carcere	1117	Paschal II
Roscemanno Sanseverino , O.S.B.Cas.	Marsica	Cardinal-deacon of S. Giorgio in Velabro	circa 1106	Paschal II
