Nat.	Name	Moving from	Type	Transfer window	Ends	Transfer fee
Cyprus	Georgios Efrem	Arsenal	Transfer	Summer	2009	Free
SCO	Graeme Smith	Kilmarnock	Transfer	Summer	2010	Free
USA	DaMarcus Beasley	PSV	Transfer	Summer	2010	£0.7m
SCO	Andy Webster	Wigan Athletic	Loan extension	Summer	2008	n/a
SCO	Kirk Broadfoot	St Mirren	Transfer	Summer	2010	Free
FRA	Jean-Claude Darcheville	Bordeaux	Transfer	Summer	2009	Free
SCO	Alan Gow	Falkirk	Transfer	Summer	2010	Free
ESP	Carlos Cuéllar	Osasuna	Transfer	Summer	2011	£2.37m
NIR	Roy Carroll	West Ham United	Transfer	Summer	2008	Free
AUT	Marco Michetschlager	Admira Wacker	Loan	Summer	2008	n/a
SCO	Lee McCulloch	Wigan Athletic	Transfer	Summer	2011	£2.25m
SCO	Steven Whittaker	Hibernian	Transfer	Summer	2012	£2m
GAB	Daniel Cousin	Lens	Transfer	Summer	2010	£1.1m
SCO	Steven Naismith	Kilmarnock	Transfer	Summer	2012	£1.9m
SEN	Amdy Faye	Charlton Athletic	Loan	Summer	2008	n/a
LAT	Artūrs Vaičulis	St Mirren	Transfer	Summer	2009	Free
NOR	Thomas Kind Bendiksen	Harstad IL	Transfer	Summer	2010	£0.09m
TUR	Isa Bagci	BK Häcken	Transfer	Summer	2010	Undisclosed
SCO	Neil Alexander	Ipswich Town	Transfer	Winter	2011	Free
SCO	Christian Dailly	West Ham United	Transfer	Winter	2008	Free
NIR	Steven Davis	Fulham	Loan	Winter	2008	n/a
