Tie no	Home team	Score	Away team	Date
1	Bristol City	4–4	Wrexham	7 January 1978
Replay	Wrexham	3–0	Bristol City	9 January 1978
2	Burnley	1–0	Fulham	7 January 1978
3	Walsall	4–1	Swansea City	7 January 1978
4	Nottingham Forest	4–1	Swindon Town	7 January 1978
5	Blackburn Rovers	2–1	Shrewsbury Town	7 January 1978
6	Grimsby Town	0–0	Southampton	7 January 1978
Replay	Southampton	0–0	Grimsby Town	10 January 1978
Replay	Grimsby Town	1–4	Southampton	16 January 1978
7	Middlesbrough	3–0	Coventry City	7 January 1978
8	West Bromwich Albion	4–1	Blackpool	7 January 1978
9	Sunderland	0–1	Bristol Rovers	7 January 1978
10	Derby County	3–2	Southend United	7 January 1978
11	Luton Town	1–1	Oldham Athletic	7 January 1978
Replay	Oldham Athletic	1–2	Luton Town	10 January 1978
12	Everton	4–1	Aston Villa	7 January 1978
13	Sheffield United	0–5	Arsenal	7 January 1978
14	Tottenham Hotspur	2–2	Bolton Wanderers	7 January 1978
Replay	Bolton Wanderers	2–1	Tottenham Hotspur	10 January 1978
15	Queens Park Rangers	4–0	Wealdstone	7 January 1978
16	West Ham United	1–0	Watford	7 January 1978
17	Brighton & Hove Albion	3–0	Scarborough	7 January 1978
18	Hull City	0–1	Leicester City	7 January 1978
19	Carlisle United	1–1	Manchester United	7 January 1978
Replay	Manchester United	4–2	Carlisle United	11 January 1978
20	Chelsea	4–2	Liverpool	7 January 1978
21	Exeter City	2–2	Wolverhampton Wanderers	7 January 1978
Replay	Wolverhampton Wanderers	3–1	Exeter City	10 January 1978
22	Blyth Spartans	1–0	Enfield	7 January 1978
23	Mansfield Town	1–0	Plymouth Argyle	7 January 1978
24	Cardiff City	0–2	Ipswich Town	7 January 1978
25	Charlton Athletic	0–2	Notts County	6 January 1978
26	Leeds United	1–2	Manchester City	7 January 1978
27	Stoke City	4–0	Tilbury	7 January 1978
28	Rotherham United	1–1	Millwall	7 January 1978
Replay	Millwall	2–0	Rotherham United	10 January 1978
29	Peterborough United	1–1	Newcastle United	7 January 1978
Replay	Newcastle United	2–0	Peterborough United	11 January 1978
30	Birmingham City	4–0	Wigan Athletic	7 January 1978
31	Orient	1–1	Norwich City	6 January 1978
Replay	Norwich City	0–1	Orient	16 January 1978
32	Hartlepool United	2–1	Crystal Palace	7 January 1978
