Date	Opponent	Result	Odds	Location	Score
1838	Alexandre	Lost	none	London	N/A
1840	Popert	Won	none	London	13/21
1841	Stanley	Lost	P + 2	London	2½/6
1841	Zytogorski	Lost	P + 2	N/A	½/7
1843	Cochrane	Won	none	London	14/18
1843	Taverner	Won	P + 2	N/A	5/6
1843	Saint-Amant	Lost	none	London	2½/6
1843	Brooke-Greville	Lost	P + 1	N/A	0/3
1843	Brooke-Greville	Won	P + 2	N/A	5/6
1843	Buckle	Lost	P + 1	London	1/3
1843	Saint-Amant	Won	none	Paris	13/21
1844	Tuckett	Won	P + 2	N/A	7½/9
1845	Tuckett	Won	P + 2	N/A	7½/9
1845	Mongredien	Won	P + 2	N/A	3½/5
1845	Spreckley	Won	P + 2	N/A	3½/5
1845	Williams	Won	P + 2	N/A	3½/4
1845	Kennedy	Won	P + 2	N/A	8½/11
1846	Horwitz	Won	none	London	15½/24
1846	Hannah	Won	Q Knight	N/A	5½/8
1846	Daniel Harrwitz	Won	none	London	7/7
1846	Daniel Harrwitz	Lost	P + 1	London	1½/8
1846	Daniel Harrwitz	Won	P + 2	London	4/7
1847	Kenny	Drawn	Q Rook	N/A	2/4
1847	Loewe	Lost	P + 2	N/A	2/7
1847	Medley	Won	P + 2	N/A	7½/10
1851	Carl Jaenisch	Won	none	London	7½/10
1851	Elijah Williams	Lost	none	London	7½/13
1853	von der Lasa	Lost	none	Brussels	5½/12
1854	Brien	N/A	P + 2	N/A	N/A
1859	Worrall	Won	Q Knight	N/A	7½/10
