Name	Country	Status	Moving to	Transfer window	Transfer fee
Otsemobor	ENG	Transfer	Norwich City	Summer	Free
Jones	ENG	Transfer	Preston North End	Summer	£500,000 [* ]
Varney	ENG	Transfer	Charlton Athletic	Summer	£2,500,000
Vaughan	WAL	Transfer	RealSociedad	Summer	£300,000
Brown	ENG	Loan	Kidsgrove Athletic	Winter	Loan
Farquharson	ENG	Loan	Northwich Victoria	Winter	Loan
Lynch	ENG	Loan	Stafford Rangers	Winter	Loan
Daniel	ENG	Loan	Grays Athletic	Winter	Loan
Dugdale	ENG	Free	Droylsden	Winter	Free
Farquharson	ENG	Loan	Nantwich Town	Winter	Loan
Tomlinson	ENG	Loan	Burton Albion	Winter	Loan
