Week	Date	Opponent	Result	Attendance
1	September 24, 1948	at Chicago Cardinals	L 21–14	24,159
2	October 3, 1948	at Los Angeles Rams	T 28–28	24,597
3	October 10, 1948	New York Giants	W 45–0	22,804
4	October 17, 1948	at Washington Redskins	W 45–0	35,580
5	October 24, 1948	Chicago Bears	W 12–7	36,227
6	October 31, 1948	at Pittsburgh Steelers	W 34–7	32,859
7	November 7, 1948	at New York Giants	W 35–14	24,983
8	November 14, 1948	Boston Yanks	W 45–0	22,958
9	November 21, 1948	Washington Redskins	W 42–21	36,254
10	November 28, 1948	Pittsburgh Steelers	W 17–0	22,001
11	December 5, 1948	at Boston Yanks	L 37–14	9,652
12	December 12, 1948	Detroit Lions	W 45–21	15,322
