Year	Competition	Opponent	Score	Venue
Year	Competition	Opponent	Score	Venue
1921	VFL Reserves	Collingwood	10.9 (69) - 8.13 (61)	MCG
1941	VFL Reserves	Fitzroy	12.16 (88) - 9.17 (71)	MCG
1950	VFL Reserves	North Melbourne	12.8 (80) - 8.7 (55)	MCG
1952	VFL Reserves	Collingwood	7.14 (56) - 4.5 (29)	MCG
1968	VFL Reserves	Richmond	15.7 (97) - 13.14 (92)	MCG
1983	VFL Reserves	Collingwood	19.14 (128) - 15.9 (99)	MCG
1992	VSFL	Melbourne	18.19 (127) - 14.10 (94)	MCG
1999	VSFL	St Kilda	20.13 (133) - 11.10 (76)	MCG
