Date	Opponent	Score	Loss	Attendance	Record
June 1	Twins	5 - 1	Castillo (1-5)	30,444	28-27
June 2	@ Marlins	11 - 10	Munro (1-1)	12,209	28-28
June 3	@ Marlins	2 - 1	Koch (3-1)	17,546	28-29
June 4	@ Marlins	7 - 2	Núñez (0-6)	11,007	29-29
June 5	@ Braves	9 - 3	Burkett (4-3)	33,641	30-29
June 6	@ Braves	7 - 6	Frascatore (1-2)	39,454	30-30
June 7	@ Braves	12 - 8	Millwood (4-5)	33,240	31-30
June 9	Expos	13 - 3	Tucker (0-1)	26,122	32-30
June 10	Expos	11 - 2	Escobar (5-7)	30,239	32-31
June 11	Expos	8 - 3	Mota (0-1)	25,838	33-31
June 12	@ Tigers	4 - 2	Nomo (2-6)	21,779	34-31
June 13	@ Tigers	16 - 3	Andrews (1-2)	23,314	34-32
June 14	@ Tigers	8 - 1	Weaver (3-6)	27,479	35-32
June 16	@ Red Sox	7 - 4	Escobar (5-8)	33,638	35-33
June 17	@ Red Sox	11 - 10	Martínez (5-4)	32,951	36-33
June 18	@ Red Sox	5 - 1	Fassero (6-3)	32,925	37-33
June 20	Tigers	18 - 6	Carpenter (6-6)	18,850	37-34
June 21	Tigers	6 - 0	Moehler (4-4)	18,125	38-34
June 22	Tigers	7 - 4	Nomo (2-7)	20,259	39-34
June 23	Red Sox	5 - 4	Wasdin (0-3)	28,198	40-34
June 24	Red Sox	6 - 4	Rose (3-5)	30,130	41-34
June 25	Red Sox	6 - 5 (13)	Florie (0-2)	31,022	42-34
June 27	@ Devil Rays	11 - 1	Escobar (6-9)	14,657	42-35
June 28	@ Devil Rays	5 - 2	Yan (4-6)	15,308	43-35
June 29	@ Devil Rays	12 - 3	Lidle (1-3)	21,666	44-35
June 30	@ Orioles	8 - 3	Halladay (3-5)	40,412	44-36
