Game	Date	Opponent	Result	Oilers points	Opponents	Oilers first downs	Record	Attendance
1	Sept. 7	at Pittsburgh Steelers	Loss	17	31	16	0–1	54386
2	Sept. 15	at Cleveland Browns	Win	16	7	23	1–1	80243
3	Sept. 21	Baltimore Colts	Win	21	16	27	2–1	47878
4	Sept. 28	at Cincinnati Bengals	Win	13	10	20	3–1	50413
5	Oct. 5	Seattle Seahawks	Loss	7	26	16	3–2	46860
6	Oct. 12	at Kansas City Chiefs	Loss	20	21	21	3–3	75048
7	Oct. 19	Tampa Bay Buccaneers	Win	20	14	23	4–3	48167
8	Oct. 26	Cincinnati Bengals	Win	23	3	17	5–3	49189
9	Nov. 2	at Denver Broncos	Win	20	16	23	6–3	74717
10	Nov. 10	New England Patriots	Win	38	34	20	7–3	51524
11	Nov. 16	at Chicago Bears	Win	10	6	20	8–3	59390
12	Nov. 23	at New York Jets	Loss	28	31	28	8–4	52358
13	Nov. 30	Cleveland Browns	Loss	14	17	17	8–5	51514
14	Dec. 4	Pittsburgh Steelers	Win	6	0	13	9–5	53960
15	Dec. 14	at Green Bay Packers	Win	22	3	22	10–5	53201
