Place	Player	Country	Score	To par
1	Stuart Appleby	Australia	69-70=139	–3
T2	Robert Karlsson	Sweden	70-70=140	–2
T2	Rocco Mediate	United States	69-71=140	–2
T2	Tiger Woods	United States	72-68=140	–2
T5	Miguel Ángel Jiménez	Spain	75-66=141	–1
T5	Davis Love III	United States	72-69=141	–1
T5	D. J. Trahan	United States	72-69=141	–1
T5	Lee Westwood	England	70-71=141	–1
T9	Robert Allenby	Australia	70-72=142	E
T9	Ernie Els	South Africa	70-72=142	E
T9	Geoff Ogilvy	Australia	69-73=142	E
T9	Carl Pettersson	Sweden	71-71=142	E
