Nation	Skip	Third	Second	Lead	Alternate	Club
Canada ×	Brad Gushue	Mark Nichols	Russ Howard *	Jamie Korab	Mike Adam	St. John's CC , St. John's
Finland	Markku Uusipaavalniemi	Wille Mäkelä	Kalle Kiiskinen	Teemu Salo	Jani Sullanmaa	Oulunkylä Curling , Helsinki
Germany	Andy Kapp	Uli Kapp	Oliver Axnick	Holger Höhne	Andreas Kempf	CC Füssen , Füssen
Great Britain	David Murdoch	Ewan MacDonald	Warwick Smith	Euan Byers	Craig Wilson	Lockerbie CC , Lockerbie
Italy	Joel Retornaz	Fabio Alvera	Gian Paolo Zandegiacomo	Antonio Menardi	Marco Mariani	CC Dolomiti, Cortina d'Ampezzo
New Zealand	Sean Becker	Hans Frauenlob	Dan Mustapic	Lorne De Pape	Warren Dobson	Ranfurly CC , Ranfurly
Norway	Pål Trulsen	Lars Vågberg	Flemming Davanger	Bent Ånund Ramsfjell	Torger Nergård	Stabekk CC, Oslo
Sweden	Peja Lindholm	Tomas Nordin	Magnus Swartling	Peter Narup	Anders Kraupp	Östersunds CK, Östersund
Switzerland	Ralph Stöckli	Claudio Pescia	Pascal Sieber	Marco Battilana	Simon Strübin	St Galler Bär CC, Zürich
United States	Pete Fenson	Shawn Rojeski	Joseph Polo	John Shuster	Scott Baird	Bemidji CC , Bemidji
