Index (Year)	Author / Editor / Source	Year of publication	Countries sampled	World Ranking (1)	Ranking L.A. (2)
Environmental Performance (2008)	Yale University	2008	149	32nd	5th
Democracy (2010)	The Economist	2010	167	46th	4th
Global Peace (2008)	The Economist	2008	140	48th	4th
Economic Freedom (2008)	The Wall Street Journal	2008	157	46th	3rd
Quality-of-life (2005)	The Economist	2007	111	47th	7th
Travel and Tourism Competitiveness (2008)	World Economic Forum	2008	130	50th	3rd
Press Freedom (2007)	Reporters Without Borders	2007	169	54th	5th
Global Competitiviness (2007)	World Economic Forum	2007–08	131	59th	3rd
Human Development (2005)	United Nations (UNDP)	2007–08	177	62nd	7th
Corruption Perception (2010)	Transparency International	2010	178	73rd	6th
