Team	Driver	Laps	Time	Grid
Switzerland	Neel Jani	10	18'20.910	1
France	Loïc Duval	10	+3.792	2
Canada	Robert Wickens	10	+13.127	5
Brazil	Sérgio Jimenez	10	+13.737	7
New Zealand	Jonny Reid	10	+14.476	6
Great Britain	Oliver Jarvis	10	+14.937	3
Ireland	Adam Carroll	10	+19.679	13
Italy	Enrico Toccacelo	10	+23.221	18
Malaysia	Alex Yoong	10	+23.587	19
South Africa	Adrian Zaugg	10	+25.105	8
India	Narain Karthikeyan	10	+25.204	14
USA	Jonathan Summerton	10	+26.527	11
Portugal	João Urbano	10	+27.772	15
Lebanon	Chris Alajajian	10	+34.121	20
Czech Republic	Erik Janis	10	+36.328	17
Germany	Michael Ammermüller	10	+36.935	4
Pakistan	Adam Langley-Khan	10	+37.546	22
Netherlands	Jeroen Bleekemolen	10	+40.327	10
Indonesia	Satrio Hermanto	10	+44.820	21
Mexico	Michel Jourdain Jr.	10	+47.416	16
China	Cong Fu Cheng	1	Mechanical	9
Australia	Ian Dyk	0	Collision	12
