-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Alexandra Penovich*	Josie Goldberg	Felicia Taylor	Diane Deluna	[Month Ended]
February	Cassia Walton	Kaci Lynn	Amanda English*	Cassie and Kat Kellerman	[Month Ended]
March	Demi Jessica	Jenna Jamison	Dana DiCillo	Heidi Wheeler*	Jenna Michelle
April	Blair Snell	Sharae Spears **	Chernise Yvette	Chelsea Co	[Month Ended]
May	Heather Bauer	Britney Arianna	Jia Lynn*	Kristi Lynn	[Month Ended]
June	Crystal Enloe	Lexi Lombardelli	Katie Anderson	Tasha Nicole*	Bryleigh Rayne
July	Nikki Ryann	Brittany Sylvanowicz	Debbie Beal*	Kristen Smith	[Month Ended]
August	Anissa Holmes	Shannon Bettencourt	Alinna D Penta	Kristina Jarvis*	[Month Ended]
September	Stephanie Emma	Elizabeth Taylor	Rebecca Lynn*	Stephanie Strong	Samantha Dunn
October	Jennifer Kohut	Ashley Lowe	Jennifer Lewis*	Jane Taylor	[Month Ended]
November	Jayden Tyler	Lauren D'Marie*	Ashley Sey	Lynn Delarosa	[Month Ended]
