Place	Player	Country	Score	To par
1	Bobby Clampett	United States	67-66-78=211	–5
2	Nick Price	Zimbabwe	69-69-74=212	–4
T3	Sandy Lyle	Scotland	74-66-73=213	–3
T3	Des Smyth	Ireland	70-69-74=213	–3
5	Tom Watson	United States	69-71-74=214	–2
T6	Masahiro Kuramoto	Japan	71-73-71=215	–1
T6	Peter Oosterhuis	England	74-67-74=215	–1
T8	Nick Faldo	England	73-71-71=217	+1
T8	Bernhard Langer	West Germany	70-69-78=217	+1
T8	Tom Purtzer	United States	76-66-75=217	+1
T8	Denis Watson	Zimbabwe	75-69-73=217	+1
T8	Fuzzy Zoeller	United States	73-71-73=217	+1
