Date	Venue	Score	Result	Competition
26 June 1955	Råsunda Stadium , Stockholm	1–0	6–0	Friendly
26 June 1955	Råsunda Stadium , Stockholm	2–0	6–0	Friendly
26 June 1955	Råsunda Stadium , Stockholm	4–0	6–0	Friendly
16 September 1955	Dynamo Stadium , Moscow	2–0	11–1	Friendly
16 September 1955	Dynamo Stadium , Moscow	4–0	11–1	Friendly
16 September 1955	Dynamo Stadium , Moscow	7–0	11–1	Friendly
23 October 1955	Dynamo Stadium, Moscow	1–1	2–2	Friendly
23 May 1956	Dynamo Stadium, Moscow	3–0	5–1	Friendly
15 September 1956	Niedersachsenstadion , Hanover	1–0	2–1	Friendly
24 November 1956	Olympic Park Stadium , Melbourne	2–0	2–1	1956 Summer Olympics
5 December 1956	Olympic Park Stadium, Melbourne	1–1	2–1	1956 Summer Olympics
1 June 1957	Central Lenin Stadium , Moscow	1–1	1–1	Friendly
21 July 1957	Vasil Levski National Stadium , Sofia	1–0	4–0	Friendly
21 July 1957	Vasil Levski National Stadium , Sofia	3–0	4–0	Friendly
15 August 1957	Helsinki Olympic Stadium , Helsinki	6–0	10–0	1958 World Cup qualifier
15 August 1957	Helsinki Olympic Stadium , Helsinki	8–0	10–0	1958 World Cup qualifier
22 September 1957	Népstadion , Budapest	2–1	2–1	Friendly
24 November 1957	Zentralstadion , Leipzig	1–0	2–1	1958 World Cup qualifier
23 October 1966	Central Lenin Stadium, Moscow	1–0	2–2	Friendly
3 June 1967	Parc des Princes , Paris	4–2	4–2	Friendly
11 June 1967	Central Lenin Stadium, Moscow	4–3	4–3	Euro 1968 qualifier
8 October 1967	Vasil Levski National Stadium, Sofia	1–1	2–1	Friendly
17 December 1967	Estadio Nacional de Chile , Santiago	2–0	4–1	Friendly
17 December 1967	Estadio Nacional de Chile , Santiago	3–0	4–1	Friendly
17 December 1967	Estadio Nacional de Chile , Santiago	4–0	4–1	Friendly
