Paul McCartney	Stuart	McIntosh	Whitten	Linda McCartney
Bass	Electric Guitar	Electric Guitar	Drums	Tambourine
Bass	Electric Guitar	Electric Guitar	Drums	Keyboards
Bass	Acoustic Guitar	Electric Guitar	Drums	Keyboards
Piano	Bass	Electric Guitar	Drums	Keyboards or Drum
Piano	Bass	Electric Guitar	Drums	Keyboards
Electric Guitar	Bass	Electric Guitar	Drums	Keyboards
Acoustic Guitar	Bass	Electric Guitar	Drums	Keyboards
Acoustic Guitar	None	None	None	None
Piano	Bass	Electric Guitar	Drums	Tambourine/Keyboards
None	Bass	Electric Guitar	Drums	Keyboards
Keyboards/Electric Guitar	Bass/Electric Guitar	Electric Guitar	Drums	Keyboards
