Position	Number	Horse	Jockey	Age	Handicap	SP	Distance
1st	21	Bindaree	Jim Culloty	8	10-4	20/1	Won by 1¾ lengths
2nd	4	What's Up Boys	Richard Johnson	8	11-6	10/1	27 lengths
3rd	16	Blowing Wind	Tony McCoy	9	10-6	10/1	9 lengths
4th	3	Kingsmark	Ruby Walsh	9	11-9	16/1	17 lengths
5th	40	Supreme Charm	Robert Thornton	10	10-0	28/1	3½ lengths
6th	22	Celibate	Noel Fehily	11	10-3	66/1	3½ lengths
7th	13	You're Agoodun	Johnny Kavanagh	10	10-8	50/1	18 lengths
8th	14	Royal Predica	Jimmy McCarthy	8	10-8	80/1	28 lengths
9th	12	Streamstown	John McNamara	8	10-8	40/1	13 lengths
10th	34	Birkdale	Jason Maguire	11	10-2	50/1	A distance
