Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	155	75	62	292
2	China	26	29	22	77
3	Japan	24	28	32	84
4	South Korea	17	12	12	41
5	Belarus	13	13	14	40
6	Ukraine	12	29	36	77
7	United States	11	14	15	40
8	South Africa	7	3	4	14
9	Italy	6	17	21	44
10	Australia	6	4	6	16
11	Lithuania	6	1	3	10
12	Poland	5	9	16	30
13	France	5	9	12	26
14	Germany	4	6	9	19
15	Azerbaijan	4	5	7	16
16	Chinese Taipei	4	4	7	15
17	Brazil	4	3	4	11
18	Hungary	4	2	9	15
19	Kazakhstan	3	11	16	30
20	Mongolia	3	6	16	25
21	Czech Republic	3	6	7	16
22	Uzbekistan	2	7	10	19
23	Thailand	2	7	6	15
24	Canada	2	5	9	16
25	Turkmenistan	2	3	9	14
26	Kyrgyzstan	2	2	8	12
27	North Korea	2	2	2	6
28	Israel	2	1	1	4
29	Turkey	2	0	5	7
30	Romania	2	0	4	6
31	Portugal	2	0	2	4
32	Armenia	1	5	4	10
33	Iran	1	5	3	9
34	Mexico	1	4	6	11
35	Slovakia	1	3	2	6
36	Cuba	1	2	2	5
37	Great Britain	1	1	4	6
38	Austria	1	0	3	4
39	Belgium	1	0	1	2
40	Botswana	1	0	0	1
40	Virgin Islands	1	0	0	1
40	Philippines	1	0	0	1
43	Moldova	0	2	11	13
44	Tajikistan	0	2	3	5
45	Serbia	0	1	8	9
46	Bulgaria	0	1	3	4
46	Jamaica	0	1	3	4
48	Georgia	0	1	2	3
48	Latvia	0	1	2	3
50	Argentina	0	1	1	2
50	Spain	0	1	1	2
52	Finland	0	1	0	1
52	Indonesia	0	1	0	1
52	India	0	1	0	1
52	Ireland	0	1	0	1
52	Kenya	0	1	0	1
52	Madagascar	0	1	0	1
52	Senegal	0	1	0	1
59	Malaysia	0	0	3	3
60	Netherlands	0	0	2	2
60	Switzerland	0	0	2	2
62	Albania	0	0	1	1
62	Chile	0	0	1	1
62	Ivory Coast	0	0	1	1
62	Croatia	0	0	1	1
62	Estonia	0	0	1	1
62	Greece	0	0	1	1
62	New Zealand	0	0	1	1
62	Slovenia	0	0	1	1
62	Venezuela	0	0	1	1
Total	Total	353	351	461	1165
