City	Province	Country	IATA	ICAO	Airport
Abu Dhabi	—	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport
Aksu	Xinjiang	China	AKU	ZWAK	Aksu Airport
Almaty	—	Kazakhstan	ALA	UAAA	Almaty International Airport
Ankang	Shaanxi	China	AKA	ZLAK	Ankang Airport
Anshan	Liaoning	China	AOG	ZYAS	Anshan Teng'ao Airport
Baise	Guangxi	China	AEB	GBS	Baise Youjiang Airport
Bangkok	—	Thailand	BKK	VTBS	Suvarnabhumi Airport
Baotou	Inner Mongolia	China	BAV	ZBOW	Baotou Erliban Airport
Beijing	Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Berlin	—	Germany	TXL	EDDT	Berlin Tegel Airport
Bishkek	—	Kyrgyzstan	FRU	UAFM	Manas International Airport
Brussels	—	Belgium	BRU	EBBR	Brussels Airport
Budapest	—	Hungary	BUD	LHBP	Budapest Ferenc Liszt International Airport
Busan	—	Republic of Korea	PUS	RKPK	Gimhae International Airport
Cairo	—	Egypt	CAI	HECA	Cairo International Airport
Cebu	—	Philippines	CEB	RPVM	Mactan-Cebu International Airport
Changchun	Jilin	China	CGQ	ZYCC	Longjia International Airport
Changsha	Hunan	China	CSX	ZGCS	Huanghua International Airport
Changzhi	Shanxi	China	CIH	ZBCZ	Changzhi Wangcun Airport
Chengdu	Sichuan	China	CTU	ZUUU	Shuangliu International Airport
Chicago	—	United States	ORD	KORD	O'Hare International Airport
Chifeng	Inner Mongolia	China	CIF	ZBCF	Chifeng Yulong Airport
Chita	—	Russia	HTA	UIAA	Kadala Airport
Chongqing	Chongqing	China	CKG	ZUCK	Jiangbei International Airport
Dalian	Liaoning	China	DLC	ZYTL	Zhoushuizi International Airport
Datong	Shanxi	China	DAT	ZBDT	Datong Airport
Dongying	Shandong	China	DOY	ZSDY	Dongying Shengli Airport
Dubai	—	United Arab Emirates	DXB	OMDB	Dubai International Airport
Dunhuang	Gansu	China	DNH	ZLDH	Dunhuang Airport
Enshi	Hubei	China	ENH	ZHES	Enshi Airport
Fuyang	Anhui	China	FUG	ZSFY	Fuyang Xiguan Airport
Fuzhou	Fujian	China	FOC	ZSFZ	Changle International Airport
Guangzhou	Guangdong	China	CAN	ZGGG	Baiyun International Airport
Guiyang	Guizhou	China	KWE	ZUGY	Longdongbao International Airport
Guilin	Guangxi	China	KWL	ZGKL	Liangjiang International Airport
Haikou	Hainan	China	HAK	ZJHK	Meilan International Airport
Hailar	Inner Mongolia	China	HLD	ZBLA	Hulunbuir Hailar Airport
Hangzhou	Zhejiang	China	HGH	ZSHC	Xiaoshan International Airport
Hanoi	—	Vietnam	HAN	VVNB	Noi Bai International Airport
Hanzhong	Shaanxi	China	HZG	ZLHZ	Hanzhong Xiguan Airport
Harbin	Heilongjiang	China	HRB	ZYHB	Taiping International Airport
Hefei	Anhui	China	HFE	ZSOF	Luogang International Airport
Ho Chi Minh City	—	Vietnam	SGN	VVTS	Tan Son Nhat International Airport
Hohhot	Inner Mongolia	China	HET	ZBHH	Hohhot Baita International Airport
Hong Kong	—	Hong Kong	HKG	VHHH	Hong Kong International Airport
Huai'an	Jiangsu	China	HIA	ZSSH	Huaian Lianshui Airport
Irkutsk	—	Russia	IKT	UIII	Irkutsk International Airport
Istanbul	—	Turkey	IST	LTBA	Istanbul Atatürk Airport
Jiamusi	Heilongjiang	China	JMU	ZYJM	Jiamusi Airport
Jinan	Shandong	China	TNA	ZSJN	Yaoqiang International Airport
Jinzhou	Liaoning	China	JNZ	ZYJZ	Jinzhou Xiaolingzi Airport
Kashgar	Xinjiang	China	KHG	ZWSH	Kashgar Airport
Korla	Xinjiang	China	KRL	ZWKL	Korla Airport
Khartoum	—	Sudan	KRT	HSSS	Khartoum International Airport
Kolkata	—	India	CCU	VECC	Netaji Subhas Chandra Bose International Airport
Krasnoyarsk	—	Russia	KJA	UNKL	Yemelyanovo International Airport
Kunming	Yunnan	China	KMG	ZPPP	Kunming Changshui International Airport
Lanzhou	Gansu	China	LHW	ZLLL	Lanzhou Airport
Lhasa	Tibet	China	LXA	ZULS	Lhasa Gonggar Airport
Linyi	Shandong	China	LYI	ZSLY	Linyi Shubuling Airport
Luanda	—	Angola	LAD	FNLU	Quatro de Fevereiro Airport
Macau	—	Macau	MFM	VMMC	Macau International Airport
Malé	—	Maldives	MLE	VRMM	Ibrahim Nasir International Airport
Manzhouli	Inner Mongolia	China	NZH	ZBMZ	Manzhouli Xijiao Airport
Moscow	—	Russia	SVO	UUEE	Sheremetyevo International Airport
Mudanjiang	Heilongjiang	China	MDG	ZYMD	Mudanjiang Airport
Nanchang	Jiangxi	China	KHN	ZSCN	Changbei International Airport
Nanjing	Jiangsu	China	NKG	ZSNJ	Lukou International Airport
Nanning	Guangxi	China	NNG	ZGNN	Wuxu International Airport
Ningbo	Zhejiang	China	NGB	ZSNB	Ningbo Lishe International Airport
Novosibirsk	—	Russia	OVB	UNNT	Novosibirsk Tolmachevo Airport
Okinawa	—	Japan	OKA	ROAH	Naha Airport
Ordos	Inner Mongolia	China	DSN	ZBCF	Ordos Ejin Horo Airport
Phuket	—	Thailand	HKT	VTSP	Phuket International Airport
Qingdao	Shandong	China	TAO	ZSQD	Liuting International Airport
Qiqihar	Heilongjiang	China	NDG	ZYQQ	Qiqihar Airport
Quanzhou	Fujian	China	JJN	ZSQZ	Quanzhou Jinjiang Airport
