Team	Head coach	Team captain	Venue	Capacity	Kitmaker	Shirt sponsor	Club Chairman
Ankaragücü	Hakan Kutlu	Murat Erdoğan	Ankara 19 Mayıs Stadium	19209	Lotto	Turkcell	Cemal Azmi Aydın
Ankaraspor	Aykut Kocaman	Hürriyet Güçer	Yenikent Asaş Stadium	19626	Nike	Turkcell	Ruhi Kurnaz
Antalyaspor	Mehmet Özdilek	Uğur Kavuk	Antalya Atatürk Stadium	11137	Nike	Mardan	Hasan Y. Akıncıoğlu
Beşiktaş	Mustafa Denizli	Matías Delgado Category:Articles with hCards	BJK İnönü Stadium	32086	Umbro	Cola Turka	Yıldırım Demirören
Bursaspor	Ertuğrul Sağlam	Ömer Erdoğan	Bursa Atatürk Stadium	18587	Kappa	Turkcell	İbrahim Yazıcı
Denizlispor	Mesut Bakkal	Roman Kratochvil	Denizli Atatürk Stadium	15427	Lescon	Turkcell	Ali İpek
Eskişehirspor	Rıza Çalımbay	Emre Toraman	Eskişehir Atatürk Stadium	18880	Nike	Eti	Halil Ünal
Fenerbahçe	Luis Aragonés Category:Articles with hCards	Alex Category:Articles with hCards	Şükrü Saracoğlu Stadium	53586	Adidas	Avea	Aziz Yıldırım
Galatasaray	Bülent Korkmaz	Ayhan Akman Category:Articles with hCards	Ali Sami Yen Stadium	22800	Adidas	Avea	Adnan Polat
Gaziantepspor	José Couceiro	Bekir İrtegün	Gaziantep Kamil Ocak Stadium	16981	Lescon	Turkcell	İbrahim Halil Kızıl
Gençlerbirliği	Samet Aybaba	Abdel Zaher El Saka	Ankara 19 Mayıs Stadium	19209	Lotto	Turkcell	İlhan Cavcav
Hacettepe	Erdoğan Arıca	Orhan Şam	Ankara 19 Mayıs Stadium	19209	Lotto	Turkcell	Turgay Kalemci
Istanbul BB	Abdullah Avcı	Efe İnanç	Atatürk Olympic Stadium	76092	Lescon	KalPen	Göksel Gümüşdağ
Kayserispor	Tolunay Kafkas	Mehmet Topuz	Kadir Has Stadium 1	32864	Adidas	Turkcell	Recep Mamur
Kocaelispor	Erhan Altın	Serdar Topraktepe	Ismet Pasa Stadium	12710	Umbro	Erciyas	Serhan Gürkan
Konyaspor	Ünal Karaman	Ömer Gündostu	Konya Atatürk Stadium	21968	Lotto	Turkcell	Mehmet Ali Kuntoğlu
Sivasspor	Bülent Uygun	Mehmet Yildiz	Sivas 4 Eylül Stadium	14998	Adidas	Turkcell	Mecnun Otyakmaz
