Game	November	Opponent	Score	Record
10	1	Chicago Black Hawks	5 - 2	7-2-1
11	4	@ California Golden Seals	3 - 1	7-3-1
12	7	@ Los Angeles Kings	6 - 2	8-3-1
13	11	Pittsburgh Penguins	3 - 3	8-3-2
14	14	@ Chicago Black Hawks	2 - 1	8-4-2
15	15	Toronto Maple Leafs	4 - 2	9-4-2
16	18	@ Los Angeles Kings	5 - 3	10-4-2
17	21	@ Montreal Canadiens	5 - 4	11-4-2
18	22	Minnesota North Stars	2 - 0	12-4-2
19	25	@ Philadelphia Flyers	3 - 1	12-5-2
20	26	@ Buffalo Sabres	2 - 2	12-5-3
21	28	Boston Bruins	3 - 3	12-5-4
22	29	Pittsburgh Penguins	6 - 2	13-5-4
