Week	Date	Opponent	Result	Attendance
1	September 2, 1979	at Minnesota Vikings	L 28-22	46,539
2	September 9, 1979	Dallas Cowboys	L 21-13	56,728
3	September 16, 1979	at Los Angeles Rams	L 27-24	44,303
4	September 23, 1979	New Orleans Saints	L 30-21	39,727
5	September 30, 1979	at San Diego Chargers	L 31-9	50,893
6	October 7, 1979	Seattle Seahawks	L 35-24	44,592
7	October 14, 1979	at New York Giants	L 32-16	70,352
8	October 21, 1979	Atlanta Falcons	W 20-15	33,952
9	October 28, 1979	Chicago Bears	L 28-27	42,773
10	November 4, 1979	at Oakland Raiders	L 23-10	52,764
11	November 11, 1979	at New Orleans Saints	L 31-20	65,551
12	November 18, 1979	Denver Broncos	L 38-28	42,910
13	November 25, 1979	Los Angeles Rams	L 26-20	49,282
14	December 2, 1979	at St. Louis Cardinals	L 13-10	41,593
15	December 9, 1979	Tampa Bay Buccaneers	W 23-7	44,506
16	December 16, 1979	at Atlanta Falcons	L 31-21	37,211
