Rider	Manufacturer	Laps	Time/Retired	Grid
Arnaud Vincent	Aprilia	18	+46:22.971	2
Mirko Giansanti	Honda	18	+1.164	15
Manuel Poggiali	Gilera	18	+2.558	5
Noboru Ueda	Honda	18	+3.479	18
Simone Sanna	Aprilia	18	+10.188	19
Shuhei Aoyama	Honda	18	+23.056	12
Ángel Rodríguez	Aprilia	18	+23.653	13
Dani Pedrosa	Honda	18	+33.488	1
Lucio Cecchinello	Aprilia	18	+34.285	3
Gino Borsoi	Aprilia	18	+47.304	11
Stefano Perugini	Italjet	18	+1:01.770	24
Klaus Nöhles	Honda	18	+1:06.064	14
Joan Olivé	Honda	18	+1:28.936	25
Alex Baldolini	Aprilia	18	+1:36.264	29
Steve Jenkner	Aprilia	18	+1:56.859	7
Héctor Barberá	Aprilia	18	+2:11.594	33
Mattia Angeloni	Gilera	18	+2:14.164	37
Imre Tóth	Honda	18	+2:17.104	36
Sunathai Chaemsap	Honda	18	+2:35.641	23
Stefano Bianco	Aprilia	15	Accident	20
Toshihisa Kuzuhara	Honda	14	Accident	22
Jakub Smrž	Honda	13	Accident	26
Youichi Ui	Derbi	12	Accident	10
Chaz Davies	Aprilia	12	Accident	27
Jaroslav Huleš	Aprilia	7	Accident	4
Andrea Ballerini	Honda	7	Accident	30
Mika Kallio	Honda	7	Accident	31
Masao Azuma	Honda	6	Accident	6
Andrea Dovizioso	Honda	6	Accident	28
Gábor Talmácsi	Italjet	5	Retirement	21
Michel Fabrizio	Gilera	5	Retirement	35
Jarno Müller	Honda	5	Accident	16
Hideyuki Ogata	Honda	4	Accident	32
Pablo Nieto	Aprilia	3	Accident	17
Alex de Angelis	Aprilia	1	Accident	8
Max Sabbatani	Aprilia	0	Accident	9
Akira Komuro	Honda	0	Accident	34
