Year	Champion	Country	Score	Purse ($)	Winner's share ($)
2007	Taylor Leon	United States	203 (−13)	80,000	11,200
2006	Kristy McPherson	United States	207 (−9)	75,000	10,500
2005	Sun Young Yoo	South Korea	204 (−12)	70,000	9,800
2004	Jimin Kang	South Korea	209 (−8)	70,000	9,800
2003*	Reilley Rankin	United States	134 (−10)	70,000	9,800
2002	Lorena Ochoa	Mexico	207 (−9)	70,000	9,800
2001	Jenn Brody	United States	202 (−14)	75,000	10,500
2000	Heather Zakhar	United States	206 (−10)	75,000	10,500
1999	Grace Park	South Korea	200 (−16)	75,000	10,500
1998	A.J. Eathorne	Canada	206 (−10)	70,000	9,700
1997**	Becky Iverson	United States	282 (−6)	70,000	9,700
1996	Erika Wicoff	United States	212 (−4)	65,000	9,750
1995	Patty Ehrhart	United States	210 (−6)	65,000	9,750
1994	Tina Paternostro	United States	214 (−2)	50,000	6,800
1993	Missy Tuck	United States	216 (E)	50,000	6,800
1992	Chela Quintana	Venezuela	220 (+4)	20,000	2,600
