District	Incumbent	Party	First elected	Result	Candidates
California 1	Clarence F. Lea	Democratic	1916	Re-elected	Clarence F. Lea (D) Unopposed
California 2	Clair Engle	Democratic	1943	Re-elected	Clair Engle (D) Unopposed
California 3	J. Leroy Johnson	Republican	1942	Re-elected	J. Leroy Johnson (R) Unopposed
California 5	Richard J. Welch	Republican	1926	Re-elected	Richard J. Welch (R) Unopposed
California 6	George Paul Miller	Democratic	1944	Re-elected	George Paul Miller (D) Unopposed
California 8	Jack Z. Anderson	Republican	1938	Re-elected	Jack Z. Anderson (R) Unopposed
California 10	Alfred J. Elliott	Democratic	1937	Re-elected	Alfred J. Elliott (D) Unopposed
California 13	Ned R. Healy	Democratic	1944	Lost re-election Republican gain	Norris Poulson (R) 51.8% Ned R. Healy (D) 48.2%
California 15	Gordon L. McDonough	Republican	1944	Re-elected	Gordon L. McDonough (R) Unopposed
California 17	Cecil R. King	Democratic	1942	Re-elected	Cecil R. King (D) Unopposed
California 18	Clyde Doyle	Democratic	1944	Lost re-election Republican gain	Willis W. Bradley (R) 52.8% Clyde Doyle (D) 47.2%
