Name	Pld.	Goals	Assists	Points	Pims
Milos Melicherik	59	29	61	90	92
Lukas Smital	54	36	48	84	102
Stuart Potts	61	18	59	77	32
Taras Foremsky	40	27	39	66	51
Rick Plant	61	22	42	64	76
Ollie Bronnimann	61	30	27	57	34
Jozef Kohut	30	27	26	53	77
Vaclav Zavoral	46	25	22	47	221
Paul Dixon	54	9	38	47	48
Rob Lamey	61	19	25	44	70
David Savage	53	21	22	43	56
Neil Liddiard	50	5	21	26	72
Terry Miles	46	6	18	24	42
Dominic Hopkins	54	3	9	12	48
Nick Cross	32	3	6	9	54
Ben Duggan	60	2	5	7	6
Ben Austin	61	0	5	5	55
Rick Skene	52	3	1	4	62
Joe Watkins	53	0	2	2	69
Ben Johnson (ice hockey)	60	0	2	2	6
Alex Mettam	18	0	1	1	0
Gavin Jackson	0	0	0	0	0
