Rd.	Grand Prix	Date	Location	Pole Position	Fastest Lap	Winning Driver	Constructor	Report
1	Brazilian Grand Prix	3 April	Jacarepaguá	Ayrton Senna	Gerhard Berger	Alain Prost	McLaren - Honda	Report
2	San Marino Grand Prix	1 May	Imola	Ayrton Senna	Alain Prost	Ayrton Senna	McLaren - Honda	Report
3	Monaco Grand Prix	15 May	Monaco	Ayrton Senna	Ayrton Senna	Alain Prost	McLaren - Honda	Report
4	Mexican Grand Prix	29 May	Hermanos Rodríguez	Ayrton Senna	Alain Prost	Alain Prost	McLaren - Honda	Report
5	Canadian Grand Prix	12 June	Circuit Gilles Villeneuve	Ayrton Senna	Ayrton Senna	Ayrton Senna	McLaren - Honda	Report
6	Detroit Grand Prix	19 June	Detroit	Ayrton Senna	Alain Prost	Ayrton Senna	McLaren - Honda	Report
7	French Grand Prix	3 July	Paul Ricard	Alain Prost	Alain Prost	Alain Prost	McLaren - Honda	Report
8	British Grand Prix	10 July	Silverstone	Gerhard Berger	Nigel Mansell	Ayrton Senna	McLaren - Honda	Report
9	German Grand Prix	24 July	Hockenheimring	Ayrton Senna	Alessandro Nannini	Ayrton Senna	McLaren - Honda	Report
10	Hungarian Grand Prix	7 August	Hungaroring	Ayrton Senna	Alain Prost	Ayrton Senna	McLaren - Honda	Report
11	Belgian Grand Prix	28 August	Spa-Francorchamps	Ayrton Senna	Gerhard Berger	Ayrton Senna	McLaren - Honda	Report
12	Italian Grand Prix	11 September	Monza	Ayrton Senna	Michele Alboreto	Gerhard Berger	Ferrari	Report
13	Portuguese Grand Prix	25 September	Estoril	Alain Prost	Gerhard Berger	Alain Prost	McLaren - Honda	Report
14	Spanish Grand Prix	2 October	Jerez	Ayrton Senna	Alain Prost	Alain Prost	McLaren - Honda	Report
15	Japanese Grand Prix	30 October	Suzuka	Ayrton Senna	Ayrton Senna	Ayrton Senna	McLaren - Honda	Report
