Game	Date	Team	Score	Record	Streak
51	February 6	Milwaukee Bucks	109–104	31–20	Win 1
52	February 8	@ Philadelphia 76ers	97–100	31–21	Loss 1
53	February 10	Washington Bullets	115–105	32–21	Win 1
54	February 13	@ Kansas City Kings	101–96	33–21	Win 2
55	February 14	Cleveland Cavaliers	111–114	33–22	Loss 1
56	February 15	@ Atlanta Hawks	104–112	33–23	Loss 2
57	February 17	Portland Trail Blazers	116–113	34–23	Win 1
58	February 21	Detroit Pistons	112–114	34–24	Loss 1
59	February 24	@ New York Knicks	109–103	35–24	Win 1
60	February 25	Seattle SuperSonics	94–126	35–25	Loss 1
61	February 27	Houston Rockets	107–113	35–26	Loss 2
