Place	Player	Country	Score	To par	Money ( $ )
1	Phil Mickelson	United States	72-69-69-69=279	–9	1,170,000
2	Ernie Els	South Africa	70-72-71-67=280	–8	702,000
3	K. J. Choi	South Korea	71-70-72-69=282	–6	442,000
T4	Sergio García	Spain	72-72-75-66=285	–3	286,000
T4	Bernhard Langer	Germany	71-73-69-72=285	–3	286,000
T6	Paul Casey	England	75-69-68-74=286	–2	189,893
T6	Fred Couples	United States	73-69-74-70=286	–2	189,893
T6	Chris DiMarco	United States	69-73-68-76=286	–2	189,893
T6	Davis Love III	United States	75-67-74-70=286	–2	189,893
T6	Nick Price	Zimbabwe	72-73-71-70=286	–2	189,893
T6	Vijay Singh	Fiji	75-73-69-69=286	–2	189,893
T6	Kirk Triplett	United States	71-74-69-72=286	–2	189,893
