Game	January	Opponent	Score	Record
38	4	Toronto Maple Leafs	8 - 6	15-19-4
39	6	@ St. Louis Blues	5 - 2	15-20-4
40	10	@ Kansas City Scouts	8 - 4	16-20-4
41	11	@ Chicago Black Hawks	6 - 2	17-20-4
42	14	@ Vancouver Canucks	5 - 1	17-21-4
43	16	@ California Golden Seals	7 - 0	17-22-4
44	18	@ Pittsburgh Penguins	8 - 3	17-23-4
45	21	Chicago Black Hawks	3 - 3	17-23-5
46	23	@ Washington Capitals	7 - 5	17-24-5
47	25	Los Angeles Kings	4 - 1	17-25-5
48	28	Buffalo Sabres	3 - 3	17-25-6
49	29	@ St. Louis Blues	6 - 3	18-25-6
50	31	@ Toronto Maple Leafs	6 - 4	18-26-6
