Place	Player	Country	Score	To par	Money ( $ )
1	Tom Kite	United States	71-72-70-72=285	–3	275,000
2	Jeff Sluman	United States	73-74-69-71=287	–1	137,500
3	Colin Montgomerie	Scotland	70-71-77-70=288	E	84,245
T4	Nick Faldo	England	70-76-68-77=291	+3	54,924
T4	Nick Price	Zimbabwe	71-72-77-71=291	+3	54,924
T6	Billy Andrade	United States	72-74-72-74=292	+4	32,316
T6	Jay Don Blake	United States	70-74-75-73=292	+4	32,316
T6	Bob Gilder	United States	73-70-75-74=292	+4	32,316
T6	Mike Hulbert	United States	74-73-70-75=292	+4	32,316
T6	Tom Lehman	United States	69-74-72-77=292	+4	32,316
T6	Joey Sindelar	United States	74-72-68-78=292	+4	32,316
T6	Ian Woosnam	Wales	72-72-69-79=292	+4	32,316
