Nationality	Player	Birth date	Height	Position
Turkey	Aslan Ekşi	15 May 1989 (age24)	193	setter
Turkey	Faik Samet Güneş	27 May 1993 (age20)	205	middle blocker
Turkey	Sabit Karaağaç	5 May 1987 (age26)	202	middle blocker/setter
Egypt	Ahmed Salaheldin Abdel Naeim Abdelhay	19 August 1984 (age29)	198	hitter
Turkey	Nuri Şahin	1 January 1980 (age34)	197	libero
Turkey	Halil İbrahim Yücel	24 November 1989 (age24)	197	hitter
Turkey	Can Ayvazoğlu	14 September 1979 (age34)	190	outside hitter
Turkey	Serhat Coşkun	18 July 1987 (age26)	198	hitter
Turkey	Emre Batur	21 April 1988 (age25)	201	middle blocker
Turkey	Hüseyin Koç	30 July 1979 (age34)	197	hitter
Venezuela	Luis Augusto Diaz Mallorca	20 August 1983 (age30)	205	hitter
Turkey	Resul Tekeli	16 September 1986 (age27)	204	middle blocker
United States	William Priddy	1 October 1977 (age36)	193	hitter
