Name	Nationality	Position	Boston Breakers career	Appearances	Starts	Minutes	Goals	Assists
Stacy Bishop Category:Articles with hCards	United States	MF	2009	10	6	553	0	2
Candace Chapman Category:Articles with hCards	Canada	DF	2009	11	8	697	0	0
Abby Crumpton Category:Articles with hCards	United States	FW	2009	4	1	144	0	0
Fabiana Category:Articles with hCards	Brazil	FW	2009	7	7	465	0	0
Ariel Harris Category:Articles with hCards	United States	DF	2009	0	0	0	0	0
Angela Hucles Category:Articles with hCards	United States	MF	2009	19	19	1692	2	1
Christine Latham Category:Articles with hCards	Canada	FW	2009–	16	8	654	2	1
Amy LePeilbet Category:Articles with hCards	United States	DF	2009–	19	19	1710	0	0
Kristine Lilly Category:Articles with hCards	United States	MF	2009–	20	20	1800	3	3
Allison Lipsher Category:Articles with hCards	United States	GK	2009–	11	10	928	0	0
Kristin Luckenbill Category:Articles with hCards	United States	GK	2009	10	10	872	0	0
Heather Mitts Category:Articles with hCards	United States	DF	2009	19	19	1631	0	1
Mary-Frances Monroe Category:Articles with hCards	United States	MF	2009–	5	4	298	0	1
Kasey Moore Category:Articles with hCards	United States	DF	2009–	13	7	640	0	0
Sophia Mundy Category:Articles with hCards	United States	MF	2009	3	2	185	0	0
Jennifer Nobis Category:Articles with hCards	United States	FW	2009–	11	7	637	2	0
Ashley Phillips Category:Articles with hCards	United States	GK	2009	0	0	0	0	0
Amy Rodriguez Category:Articles with hCards	United States	FW	2009	17	11	982	1	0
Kelly Schmedes Category:Articles with hCards	United States	FW	2009	17	10	1033	1	1
Alex Scott Category:Articles with hCards	England	DF	2009–	17	17	1446	1	1
Kelly Smith Category:Articles with hCards	England	FW	2009–	15	13	1170	6	2
Erika Sutton Category:Articles with hCards	United States	DF	2009	1	1	90	0	0
Maggie Tomecka Category:Articles with hCards	United States	MF	2009–	11	6	653	0	0
