Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1978	Kitzbühel , Austria	Clay	Pavel Hutka	Mike Fishbach Chris Lewis	7–6, 4–6, 3–6
Runner-up	1978	Madrid , Spain	Clay	Tomáš Šmíd	Wojtek Fibak Jan Kodeš	7–6, 1–6, 2–6
Runner-up	1979	Nice , France	Clay	Tomáš Šmíd	Peter McNamara Paul McNamee	1–6, 6–3, 2–6
Runner-up	1979	Florence , Italy	Clay	Ivan Lendl	Paolo Bertolucci Adriano Panatta	4–6, 3–6
Runner-up	1979	Stuttgart Outdoor , Germany	Clay	Wojtek Fibak	Colin Dowdeswell Frew McMillan	4–6, 2–6, 6–2, 4–6
Runner-up	1979	Cologne , Germany	Hard (i)	Heinz Günthardt	Gene Mayer Stan Smith	3–6, 4–6
Runner-up	1980	Vienna , Austria	Clay	Tomáš Šmíd	Gianni Ocleppo Christophe Roger-Vasselin	DEF
Runner-up	1980	Barcelona , Spain	Clay	Balázs Taróczy	Steve Denton Ivan Lendl	2–6, 7–6, 3–6
Runner-up	1980	Vienna , Austria	Hard (i)	Heinz Günthardt	Robert Lutz Stan Smith	1–6, 2–6
Runner-up	1981	Linz , Austria	Hard (i)	Brad Drewett	Anders Järryd Hans Simonsson	4–6, 6–7
Runner-up	1981	Nice , France	Clay	Chris Lewis	Yannick Noah Pascal Portes	6–4, 3–6, 4–6
Runner-up	1981	Monte Carlo , Monaco	Clay	Tomáš Šmíd	Heinz Günthardt Balázs Taróczy	3–6, 3–6
Winner	1981	Florence , Italy	Clay	Raúl Ramírez	Paolo Bertolucci Adriano Panatta	6–3, 3–6, 6–3
Winner	1981	Boston , U.S.	Clay	Raúl Ramírez	Hans Gildemeister Andrés Gómez	6–4, 7–6
Runner-up	1981	Washington, D.C. , U.S.	Clay	Ferdi Taygan	Raúl Ramírez Van Winitsky	7–5, 6–7, 6–7
Runner-up	1981	North Conway , U.S.	Clay	Ferdi Taygan	Heinz Günthardt Peter McNamara	5–7, 4–6
Runner-up	1981	Geneva , Switzerland	Clay	Tomáš Šmíd	Heinz Günthardt Balázs Taróczy	4–6, 6–3, 2–6
Runner-up	1981	Basel , Switzerland	Hard (i)	Markus Günthardt	José Luis Clerc Ilie Năstase	6–7, 7–6, 6–7
Winner	1982	Genova WCT , Italy	Carpet	Tomáš Šmíd	Mike Cahill Buster Mottram	6–7, 7–5, 6–3
