Actor	Character	Duration	No. of series	Episodes
Tony Bignell	Matthew "Matt" Cobbett	Pilot, 1–3	3	23
Joe Tracini	Darren "DK" Karrimore	Pilot, 1–3	3	23
Hannah Job	Jasmine "Jas" Brown	1–3	3	22
Ceri Phillips	Oliver "Ollie" Sinclair	1–3	3	22
Anabel Barnston	Chloe "Clo" Wheeler	1–3	3	22
Ellen Thomas	Jane Reed	1–3	3	19
Matthew Earley	Wilberforce De Wilde	2–3	2	11
Minnie Crowe	Robyn "Rob" Crisp	3	1	8
Alex Kew	Oliver "Ollie" Sinclair	Pilot	Pilot	1
Amy Yamazaki	Jasmine "Jas" Brown	Pilot	Pilot	1
Dani Harmer	Chloe "Clo" Wheeler	Pilot	Pilot	1
