Result	Opponent	Method	Event	Date
Loss	Gabriel Vella	Points	ADCC Brasil trials (Over 99KG)	2011
Win	Armando Sapo	Submission	ADCC Brasil trials (Over 99KG)	2011
Win	Salvador Minnit	Submission	ADCC Brasil trials (Over 99KG)	2011
Win	Jorge Bezerra	Points	ADCC Brasil trials(Over 99KG)	2011
Loss	Vinny Magalhães	Submission (Armbar)	ADCC Barcelona (Under 99 KG)	2009
Loss	Gerardi Rinaldi	Points	ADCC Barcelona (Under 99 KG)	2009
Win	Dean Lister	Points	ADCC Barcelona (Under 99 KG)	2009
Win	Vesa Vuori	Points	ADCC Barcelona (Under 99 KG)	2009
Win	Leonardo Chocolate	Submission (Rear naked choke)	ADCC Brasil trails (Under 99KG)	2009
Win	Renato Ferreira	Points	ADCC Brasil trails (Under 99KG)	2009
