Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:29:53.435	1
Mika Häkkinen	McLaren - Mercedes	53	+1.837	2
David Coulthard	McLaren - Mercedes	53	+1:09.914	3
Rubens Barrichello	Ferrari	53	+1:19.191	4
Jenson Button	Williams - BMW	53	+1:25.694	5
Jacques Villeneuve	BAR - Honda	52	+1 Lap	9
Johnny Herbert	Jaguar - Cosworth	52	+1 Lap	10
Eddie Irvine	Jaguar - Cosworth	52	+1 Lap	7
Ricardo Zonta	BAR - Honda	52	+1 Lap	18
Mika Salo	Sauber - Petronas	52	+1 Lap	19
Pedro Diniz	Sauber - Petronas	52	+1 Lap	20
Pedro de la Rosa	Arrows - Supertec	52	+1 Lap	13
Jarno Trulli	Jordan - Mugen-Honda	52	+1 Lap	15
Giancarlo Fisichella	Benetton - Playlife	52	+1 Lap	12
Gastón Mazzacane	Minardi - Fondmetal	51	+2 Laps	22
Marc Gené	Minardi - Fondmetal	46	Engine	21
Ralf Schumacher	Williams - BMW	41	Spun off	6
Nick Heidfeld	Prost - Peugeot	41	Suspension	16
Alexander Wurz	Benetton - Playlife	37	Spun off	11
Heinz-Harald Frentzen	Jordan - Mugen-Honda	29	Hydraulics	8
Jean Alesi	Prost - Peugeot	19	Engine	17
Jos Verstappen	Arrows - Supertec	9	Electrical	14
