Rnd	Date	Circuit	Supporting	Distance	GT Winning Car	TC Winning Car
1	March 18	Sebring International Raceway , Sebring, Florida	American Le Mans Series ( 12 Hours of Sebring )	mi (km) (TC) mi (km) (GT)	Dodge Viper	Acura TSX
1	March 18	Sebring International Raceway , Sebring, Florida	American Le Mans Series ( 12 Hours of Sebring )	mi (km) (TC) mi (km) (GT)	Tommy Archer	Peter Cunningham
2	April 3	Streets of St. Petersburg , Florida	IndyCar Series (Grand Prix of St. Petersburg)	mi (km) (TC) mi (km) (GT)	Dodge Viper	Mazda 6
2	April 3	Streets of St. Petersburg , Florida	IndyCar Series (Grand Prix of St. Petersburg)	mi (km) (TC) mi (km) (GT)	Tommy Archer	Randy Pobst
3	April 16 April 17	Road Atlanta , Braselton, Georgia	American Le Mans Series ( Grand Prix of Atlanta )	mi (km) (TC) mi (km) (GT)	Cadillac CTS-V	Acura TSX
3	April 16 April 17	Road Atlanta , Braselton, Georgia	American Le Mans Series ( Grand Prix of Atlanta )	mi (km) (TC) mi (km) (GT)	Max Papis	Pierre Kleinubing
4	May 22 May 21	Mid-Ohio Sports Car Course , Lexington, Ohio	American Le Mans Series ( Grand Prix of Atlanta )	mi (km) (TC) mi (km) (GT)	Porsche 911 Cup	Acura TSX
4	May 22 May 21	Mid-Ohio Sports Car Course , Lexington, Ohio	American Le Mans Series ( Grand Prix of Atlanta )	mi (km) (TC) mi (km) (GT)	Wolf Henzler	Pierre Kleinubing
5	June 25 June 26	Burke Lakefront Airport , Cleveland, Ohio	Champ Car World Series ( Grand Prix of Cleveland )	mi (km) (TC) mi (km) (GT)	Porsche 911 Cup	Acura TSX
5	June 25 June 26	Burke Lakefront Airport , Cleveland, Ohio	Champ Car World Series ( Grand Prix of Cleveland )	mi (km) (TC) mi (km) (GT)	Robin Liddell	Pierre Kleinubing
6	July 2	Lime Rock Park , Lakeville, Connecticut	American Le Mans Series ( New England Grand Prix )	mi (km) (TC) mi (km) (GT)	Cadillac CTS-V	BMW 325i
6	July 2	Lime Rock Park , Lakeville, Connecticut	American Le Mans Series ( New England Grand Prix )	mi (km) (TC) mi (km) (GT)	Max Angelelli	Bill Auberlen
7	July 17 July 16	Infineon Raceway , Sonoma, California	American Le Mans Series ( Grand Prix of Sonoma )	mi (km) (TC) mi (km) (GT)	Chevrolet Corvette C6	BMW 325i
7	July 17 July 16	Infineon Raceway , Sonoma, California	American Le Mans Series ( Grand Prix of Sonoma )	mi (km) (TC) mi (km) (GT)	Lou Gigliotti	Bill Auberlen
8	July 30 July 31	Portland International Raceway , Portland, Oregon	American Le Mans Series ( Portland Grand Prix )	mi (km) (TC) mi (km) (GT)	Chevrolet Corvette C6	Mazda 6
8	July 30 July 31	Portland International Raceway , Portland, Oregon	American Le Mans Series ( Portland Grand Prix )	mi (km) (TC) mi (km) (GT)	Dino Crescentini	Randy Pobst
