Rider	Manufacturer	Laps	Time/Retired	Grid
Loris Capirossi	Ducati	24	47:05.484	8
Randy de Puniet	Kawasaki	24	+10.853	4
Toni Elías	Honda	24	+11.526	5
Sylvain Guintoli	Yamaha	24	+12.192	18
Marco Melandri	Honda	24	+28.569	10
Casey Stoner	Ducati	24	+31.179	9
Anthony West	Kawasaki	24	+50.001	6
Alex Barros	Ducati	24	+52.343	15
Nicky Hayden	Honda	24	+53.629	3
John Hopkins	Suzuki	24	+59.715	11
Chris Vermeulen	Suzuki	24	+1:02.804	17
Makoto Tamada	Yamaha	24	+1:09.313	16
Valentino Rossi	Yamaha	24	+1:09.699	2
Colin Edwards	Yamaha	24	+1:11.735	7
Shinichi Itoh	Ducati	24	+1:12.290	20
Shinya Nakano	Honda	24	+1:32.979	12
Akira Yanagawa	Kawasaki	23	+1 Lap	19
Carlos Checa	Honda	23	+1 Lap	14
Kousuke Akiyoshi	Suzuki	20	Retirement	13
Dani Pedrosa	Honda	14	Accident	1
Kurtis Roberts	KR212V	1	Retirement	21
