Year	Date	Winner	Result	Loser	Location
1970	November 1	Kansas City Chiefs	17–17	Oakland Raiders	Municipal Stadium
1970	December 12	Oakland Raiders	20–6	Kansas City Chiefs	Oakland-Alameda County Coliseum
1971	October 31	Kansas City Chiefs	20–20	Oakland Raiders	Oakland-Alameda County Coliseum
1971	December 12	Kansas City Chiefs	16–14	Oakland Raiders	Municipal Stadium
1972	November 5	Kansas City Chiefs	27–14	Oakland Raiders	Arrowhead Stadium
1972	November 26	Oakland Raiders	26–3	Kansas City Chiefs	Oakland-Alameda County Coliseum
1973	September 30	Kansas City Chiefs	16–3	Oakland Raiders	Arrowhead Stadium
1973	December 8	Oakland Raiders	37–7	Kansas City Chiefs	Oakland-Alameda County Coliseum
1974	September 22	Oakland Raiders	27–7	Kansas City Chiefs	Oakland-Alameda County Coliseum
1974	December 8	Oakland Raiders	7–6	Kansas City Chiefs	Arrowhead Stadium
1975	October 12	Kansas City Chiefs	42–10	Oakland Raiders	Arrowhead Stadium
1975	December 21	Oakland Raiders	28–20	Kansas City Chiefs	Oakland-Alameda County Coliseum
1976	September 20	Oakland Raiders	24–21	Kansas City Chiefs	Arrowhead Stadium
1976	November 14	Oakland Raiders	21–10	Kansas City Chiefs	Oakland-Alameda County Coliseum
1977	October 3	Oakland Raiders	37–28	Kansas City Chiefs	Oakland-Alameda County Coliseum
1977	December 18	Oakland Raiders	21–20	Kansas City Chiefs	Arrowhead Stadium
1978	October 15	Oakland Raiders	28–6	Kansas City Chiefs	Oakland-Alameda County Coliseum
1978	November 5	Oakland Raiders	20–10	Kansas City Chiefs	Arrowhead Stadium
1979	September 23	Kansas City Chiefs	35–7	Oakland Raiders	Arrowhead Stadium
1979	November 18	Kansas City Chiefs	24–21	Oakland Raiders	Oakland-Alameda County Coliseum
