Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner–up	07-May-2006	Rabat	Clay	Raluca Olaru	Bahia Mouhtassine Emilie Bacquet	W/O
Runner–up	27-Aug-2007	Santa Cruz	Clay	Claudia Razzeto	Soledad Esperon Maria Irigoyen	2-6,2-6
Winner	17-Sep-2007	Itajai	Clay	Carla Tiene	Veronica Spiegel Emilia Yorio	5-7 6-2 11-9
Winner	15-Oct-2007	Valencia	Clay	Mariana Muci Torres	Kit Carson Katie Ruckert	6-1 6-4
Winner	22-Oct-2007	Valencia	Clay	Mariana Muci Torres	Karen Castiblanco Hilda Zuleta Cabrera	4-6 6-1 10-7
Winner	29-Oct-2007	Bogota	Clay	Nataly Yoo	Marcela Fonseca Villarreal Maria Nivia	6-4 6-3
Winner	05-Nov-2007	Lima	Clay	Claudia Razzeto	Ana Clara Duarte Mariana Muci Torres	3-6 7-6 (7) 10-5
Runner–up	26-Nov-2007	Mexico city	Hard	Mariana Muci Torres	Lorena Ivette Arias Rodriguez Erika Clarke	4-6,4-6
Runner–up	10-Nov-2008	Queretaro	Hard	Indire Akiki	Daniela Munoz Gallegos Erika Clarke	6-7,6-3 6-10
Runner–up	17-Nov-2008	Puebla	Hard	Veronica Spiegel	Audra Cohen Megan Moulton-Levy	2-6,4-6
Runner–up	23–May–2009	Santos	Clay	María Irigoyen	Monique Adamczak Florencia Molinero	6–1, 1–6, [7–10]
Winner	31-Aug-2009	Tsukuba	Hard	Jade Curtis	Wen-Hsin Hsu Mari Tanaka	1-6 6-2 10-2
Winner	05-Oct-2009	Mexico City	Hard	Frederica Piedade	Karen Castiblanco Alina Jidkova	6-3 6-4
Runner–up	26-Oct-2009	Bayamon	Hard	Karen Castiblanco	Kimberly Couts Heidi El Tabakh	3-6,1-6
Runner–up	3 May 2010	Rio de Janeiro	Clay	Andreja Klepac	Bianca Botto Amanda Carreras	3–6, 6–4, [10–8]
Runner–up	22-Nov-2010	Barueri	Clay	Aranza Salut	Fernanda Faria Paula Cristina Goncalves	5-7,6-4 5-7
Winner	2 April 2011	Buenos Aires	Clay	Paula Ormaechea	María Irigoyen Florencia Molinero	4–6, 7–5, [10–4]
Runner–up	02-Apr-2012	Villa María	Clay	Camila Silva	Patricia Iveth Ku Flores Daniela Seguel	6-4,1-6 4-10
Runner–up	09-Apr-2012	Villa del Dique	Clay	Ornella Caron	Vanesa Furlanetto Aranza Salut	W/O
Winner	30-Apr-2012	Sao Jose Dos Campos	Clay	Gabriela Paz	Carla Forte Laura Pigossi	6-0 6-3
Winner	07-May-2012	Sao Jose Dos Campos	Clay	Gabriela Paz	Alize Lim Aleksandrina Naydenova	6-2 6-4
Runners-up	10 June 2012	El Paso	Hard	Fatma Al Nabhani	Sanaz Marand Ashley Weinhold	4–6, 3–6
Winner	30-Jul-2012	Santa Cruz	Clay	Luciana Sarmenti	Patricia Iveth Ku Flores Victoria Lozano	7-6 (7) 6-4
Winner	24 Sep 2012	Amelia Island	Clay	Maria Fernanda Alves	Elizabeth Ferris Anastasia Kharchenko	6-2 6-2
Winner	01-Oct-2012	Gainesville	Clay	Angelina Gabueva	Kristi Boxx Keri Wong	7-6 (7) 5-7 10-7
Runner-up	29 Oct 2012	Buenos Aires	Clay	Maria Fernanda Alves	Elena Bogdan Raluca Olaru	6-1 2-6 7-10
Winner	05-Nov-2012	Asuncion	Clay	Chanel Simmonds	Anamika Bhargava Sylvia Krywacz	4-6 6-3 10-5
Runner-up	01-Apr-2013	Jackson	Clay	Veronica Cepede Royg	Ilona Kremen Angelique Van Der Meet	3-6,4-6
Winner	08-Apr-2013	Poza Rica	Hard	Maria Fernanda Alves	Stephanie Dubois Olga Savchuk	6-2 6-3
Winner	29-Apr-2013	Caracas	Hard	Keri Wong	Naomi Totka Karina Venditti	6-1 6-2
Winner	13-May-2013	Landisville	Hard	Keri Wong	Brooke Austin Brooke Rischbieth	2-6 6-4 10-5
Winner	03-Jun-2013	Las Cruces	Hard	Keri Wong	Anamika Bhargava Mayo Hibi	6-2 6-2
Runner–up	01-Jul-2013	São José do Rio Preto	Clay	Mailen Auroux	Veronica Cepede Royg Adriana Perez	6-4,4-6 9-11
Runner-up	30 July 2013	Campos do Jordão	Hard	Maria Fernanda Alves	Paula Cristina Goncalves Maria Irigoyen	5-7 3-6
Winner	05-Aug-2013	Santa Cruz	Clay	Daniela Ruiz	Cecilia Costa Melgar Camila Giangreco Campiz	7-5 6-3
Winner	05-Oct-2013	Ciudad Victoria	Hard	María Irigoyen	Chieh-Yu Hsu Ana Sofía Sánchez	7–6(7–2), 6–3
Winner	13-Oct-2013	Tampico	Hard	María Irigoyen	Constanza Gorches Victoria Rodríguez	6–3, 6–4
