Week	Date	Opponent	Result	Kickoff	Game site	Record	Match Report
Week	Date	Opponent	Result	Kickoff	Game site	Record	Match Report
1	August 7, 2008	Chicago Bears	W 24–20	7:00PM CST	Soldier Field	1-0	Recap
2	August 16, 2008	Arizona Cardinals	L 27–17	7:00PM CST	Arrowhead Stadium	1-1	Recap
3	August 23, 2008	Miami Dolphins	L 24–0	6:30PM CST	Dolphin Stadium	1-2	Recap
4	August 28, 2008	St. Louis Rams	W 21–17	6:00PM CST	Arrowhead Stadium	2-2	Recap
Regular season	Regular season	Regular season	Regular season	Regular season	Regular season	Regular season	Regular season
1	September 7, 2008	New England Patriots	L 17–10	12:00PM CST	Gillette Stadium	0-1	Recap
2	September 14, 2008	Oakland Raiders	L 23–8	12:00PM CST	Arrowhead Stadium	0-2	Recap
3	September 21, 2008	Atlanta Falcons	L 38–14	12:00PM CST	Georgia Dome	0-3	Recap
4	September 28, 2008	Denver Broncos	W 33–19	12:00PM CST	Arrowhead Stadium	1-3	Recap
5	October 5, 2008	Carolina Panthers	L 34–0	12:00PM CST	Bank of America Stadium	1-4	Recap
Week 6 – Bye	Week 6 – Bye	Week 6 – Bye	Week 6 – Bye	Week 6 – Bye	Week 6 – Bye	Week 6 – Bye	Week 6 – Bye
7	October 19, 2008	Tennessee Titans	L 34–10	12:00PM CST	Arrowhead Stadium	1-5	Recap
8	October 26, 2008	New York Jets	L 28–24	12:00PM CST	Giants Stadium	1-6	Recap
9	November 2, 2008	Tampa Bay Buccaneers	L 30–27 ( OT )	12:00PM CST	Arrowhead Stadium	1-7	Recap
10	November 9, 2008	San Diego Chargers	L 20–19	3:15PM CST	Qualcomm Stadium	1-8	Recap
11	November 16, 2008	New Orleans Saints	L 30–20	12:00PM CST	Arrowhead Stadium	1-9	Recap
12	November 23, 2008	Buffalo Bills	L 54–31	12:00PM CST	Arrowhead Stadium	1-10	Recap
13	November 30, 2008	Oakland Raiders	W 20–13	3:15PM CST	Oakland-Alameda County Coliseum	2-10	Recap
14	December 7, 2008	Denver Broncos	L 24–17	3:05PM CST	INVESCO Field at Mile High	2-11	Recap
15	December 14, 2008	San Diego Chargers	L 22–21	12:00PM CST	Arrowhead Stadium	2-12	Recap
16	December 21, 2008	Miami Dolphins	L 38–31	12:00PM CST	Arrowhead Stadium	2-13	Recap
17	December 28, 2008	Cincinnati Bengals	L 16–6	12:00PM CST	Paul Brown Stadium	2-14	Recap
