2005/ 06	2006/ 07	2007/ 08	2008/ 09	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR He was an amateur.	UR	69	67	UR	UR	UR	78
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Not Held	Not Held	Not Held	Non-ranking	Non-ranking	Non-ranking	Non-ranking	LQ
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	LQ	LQ
Not Held	Not Held	QR	A	1R	WR	LQ	LQ
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	LQ
A	LQ	LQ	A	A	A	LQ	LQ
Not Held	Not Held	Not Held	Not Held	Not Held	A	LQ	LQ
A	LQ	2R	A	A	A	LQ	LQ
A	LQ	RR	A	A	A	LQ	LQ
Not Held	Not Held	Not Held	Not Held	Not Held	DNQ	DNQ	DNQ
WR	LQ	LQ	2R	2R	1R	LQ	LQ
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
A	LQ	LQ	A	A	A	A	A
Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments
Not Held	Not Held	Not Held	Not Held	Not Held	A	A	1R
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
A	LQ	NR	Not Held	Not Held	Not Held	Not Held	Not Held
NR	2R	LQ	A	Not Held	Not Held	Not Held	Not Held
Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments
Not Held	Not Held	Not Held	A	A	SF	A	Ranking
