Member	Party	Electorate	State	First elected
Hon Tony Abbott	Liberal	Warringah	NSW	1994–present
Hon Dick Adams	Labor	Lyons	Tas	1993–2013
Anthony Albanese	Labor	Grayndler	NSW	1996–present
Hon John Anderson	National	Gwydir	NSW	1989–2007
Peter Andren	Independent	Calare	NSW	1996–2007
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Kevin Andrews	Liberal	Menzies	Vic	1991–present
Larry Anthony	National	Richmond	NSW	1996–2004
Fran Bailey	Liberal	McEwen	Vic	1990–1993, 1996–2010
Hon Bruce Baird	Liberal	Cook	NSW	1998–2007
Phil Barresi	Liberal	Deakin	Vic	1996–2007
Kerry Bartlett	Liberal	Macquarie	NSW	1996–2007
Hon Kim Beazley	Labor	Brand	WA	1980–2007
Hon Arch Bevis	Labor	Brisbane	Qld	1980–2010
Bruce Billson	Liberal	Dunkley	Vic	1996–present
Hon Bronwyn Bishop	Liberal	Mackellar	NSW	1996–present
Julie Bishop	Liberal	Curtin	WA	1998–present
Hon Laurie Brereton	Labor	Kingsford Smith	NSW	1990–2004
Mal Brough	Liberal	Longman	Qld	1996–2007
Anna Burke	Labor	Chisholm	Vic	1998–present
Anthony Byrne [1 ]	Labor	Holt	Vic	1999–present
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Ross Cameron	Liberal	Parramatta	NSW	1996–2004
Hon Ian Causley	National	Page	NSW	1996–2007
Bob Charles	Liberal	La Trobe	Vic	1990–2004
Ann Corcoran [2 ]	Labor	Isaacs	Vic	2000–2007
Hon Peter Costello	Liberal	Higgins	Vic	1990–2009
David Cox	Labor	Kingston	SA	1998–2004
Hon Simon Crean	Labor	Hotham	Vic	1990–2013
Hon Janice Crosio	Labor	Prospect	NSW	1990–2004
Michael Danby	Labor	Melbourne Ports	Vic	1998–present
Hon Alexander Downer	Liberal	Mayo	SA	1984–2008
Trish Draper	Liberal	Makin	SA	1996–2007
Hon Graham Edwards	Labor	Cowan	WA	1998–2007
Annette Ellis	Labor	Canberra	ACT	1996–2010
Kay Elson	Liberal	Forde	Qld	1996–2007
Dr Craig Emerson	Labor	Rankin	Qld	1998–2013
Warren Entsch	Liberal	Leichhardt	Qld	1996–2007, 2010–present
Gareth Evans [1 ]	Labor	Holt	Vic	1996–1999
Hon Martyn Evans	Labor	Bonython	SA	1994–2004
John Fahey	Liberal	Macarthur	NSW	1996–2001
Laurie Ferguson	Labor	Reid	NSW	1990–present
Martin Ferguson	Labor	Batman	Vic	1996–2013
Hon Tim Fischer	National	Farrer	NSW	1984–2001
Joel Fitzgibbon	Labor	Hunter	NSW	1996–present
John Forrest	National	Mallee	Vic	1993–2013
Christine Gallus	Liberal	Hindmarsh	SA	1990–2004
Teresa Gambaro	Liberal	Petrie	Qld	1996–2007, 2010–present
Joanna Gash	Liberal	Gilmore	NSW	1996–2013
Petro Georgiou	Liberal	Kooyong	Vic	1994–2010
Jane Gerick	Labor	Canning	WA	1998–2001
Steve Gibbons	Labor	Bendigo	Vic	1998–2013
Julia Gillard	Labor	Lalor	Vic	1998–2013
Alan Griffin	Labor	Bruce	Vic	1993–present
Barry Haase	Liberal	Kalgoorlie	WA	1998–2013
Jill Hall	Labor	Shortland	NSW	1998–present
