Week	Date	Opponent	Result	Game site	Attendance
1	2001-09-09	Indianapolis Colts	L 45–24	The Meadowlands	78,606
2	2001-09-23	at New England Patriots	W 10–3	Foxboro Stadium	60,292
3	2001-10-01	San Francisco 49ers	L 19–17	The Meadowlands	78,722
4	2001-10-07	at Buffalo Bills	W 42–36	Ralph Wilson Stadium	72,654
5	2001-10-14	Miami Dolphins	W 21–17	The Meadowlands	78,823
6	2001-10-21	St. Louis Rams	L 34–14	The Meadowlands	78,766
7	2001-10-28	at Carolina Panthers	W 13–12	Bank of America Stadium	72,642
8	2001-11-04	at New Orleans Saints	W 16–9	Louisiana Superdome	70,020
9	2001-11-11	Kansas City Chiefs	W 27–7	The Meadowlands	78,234
10	2001-11-18	at Miami Dolphins	W 24–0	Pro Player Stadium	74,259
11	Bye	Bye	Bye	Bye	Bye
12	2001-12-02	New England Patriots	L 17–16	The Meadowlands	78,712
13	2001-12-09	at Pittsburgh Steelers	L 18–7	Heinz Field	62,884
14	2001-12-16	Cincinnati Bengals	W 15–14	The Meadowlands	77,745
15	2001-12-23	at Indianapolis Colts	W 29–28	RCA Dome	56,302
16	2001-12-30	Buffalo Bills	L 14–9	The Meadowlands	78,200
17	2002-01-06	at Oakland Raiders	W 24–22	Network Associates Coliseum	62,011
