Game	Date	Opponent	Result	76ers points	Opponent points	Record	Streak
1	November 1	Milwaukee	Loss	103	111	0-1	Lost 1
2	November 2	@ Chicago	Loss	86	115	0-2	Lost 2
3	November 5	Detroit	Loss	81	83	0-3	Lost 3
4	November 8	@ Boston	Win	115	105	1-3	Won 1
5	November 9	Phoenix	Win	112	95	2-3	Won 2
6	November 12	@ New York	Win	101	97	3-3	Won 3
7	November 13	@ Toronto	Loss	98	110	3-4	Lost 1
8	November 15	Cleveland	Loss	89	105	3-5	Lost 2
9	November 16	@ Miami	Win	91	89	4-5	Won 1
10	November 20	Indiana	Loss	92	103	4-6	Lost 1
11	November 22	@ Washington	Loss	76	88	4-7	Lost 2
12	November 23	New York	Win	109	92	5-7	Won 1
13	November 26	LA Lakers	Loss	88	100	5-8	Lost 1
14	November 29	Orlando	Win	100	91	6-8	Won 1
15	November 30	Vancouver	Win	96	90	7-8	Won 2
16	December 4	@ San Antonio	Loss	103	113	7-9	Lost 1
17	December 5	@ Dallas	Loss	102	106	7-10	Lost 2
18	December 7	@ Houston	Loss	108	123	7-11	Lost 3
19	December 9	Seattle	Loss	94	118	7-12	Lost 4
20	December 11	Miami	Loss	79	84	7-13	Lost 5
21	December 13	@ Charlotte	Loss	75	84	7-14	Lost 6
22	December 14	@ Atlanta	Loss	81	106	7-15	Lost 7
23	December 17	Charlotte	Loss	84	93	7-16	Lost 8
24	December 20	New York	Loss	103	110	7-17	Lost 9
25	December 21	Chicago	Loss	105	111	7-18	Lost 10
26	December 26	@ Denver	Win	118	89	8-18	Won 1
27	December 28	@ Utah	Loss	84	110	8-19	Lost 1
28	December 29	@ LA Lakers	Loss	102	115	8-20	Lost 2
29	January 2	@ Seattle	Loss	82	96	8-21	Lost 3
30	January 3	@ Golden State	Loss	114	122	8-22	Lost 4
31	January 5	@ Sacramento	Loss	106	107	8-23	Lost 5
32	January 7	@ Orlando	Loss	88	109	8-24	Lost 6
33	January 8	Dallas	Loss	93	111	8-25	Lost 7
34	January 10	Houston	Loss	99	120	8-26	Lost 8
35	January 13	Utah	Loss	96	97	8-27	Lost 9
36	January 15	Golden State	Loss	111	128	8-28	Lost 10
37	January 17	New Jersey	Loss	103	105	8-29	Lost 11
38	January 19	@ Indiana	Loss	107	111	8-30	Lost 12
39	January 20	Milwaukee	Loss	104	114	8-31	Lost 13
40	January 22	@ Boston	Win	127	125	9-31	Won 1
41	January 24	Sacramento	Loss	92	107	9-32	Lost 1
42	January 25	@ Detroit	Loss	95	104	9-33	Lost 2
43	January 29	Toronto	Win	101	99	10-33	Won 1
44	January 31	Orlando	Loss	99	109	10-34	Lost 1
45	February 1	@ Milwaukee	Win	109	100	11-34	Won 1
46	February 5	San Antonio	Win	113	97	12-34	Won 2
47	February 11	@ Cleveland	Loss	94	105	12-35	Lost 1
48	February 13	@ New York	Loss	92	107	12-36	Lost 2
49	February 15	@ Miami	Loss	99	125	12-37	Lost 3
50	February 16	Denver	Loss	97	112	12-38	Lost 4
51	February 18	Miami	Loss	83	111	12-39	Lost 5
52	February 20	LA Clippers	Win	101	84	13-39	Won 1
53	February 22	Portland	Win	97	80	14-39	Won 2
54	February 25	@ LA Clippers	Loss	93	98	14-40	Lost 1
55	February 26	@ Phoenix	Loss	104	111	14-41	Lost 2
56	February 28	@ Vancouver	Win	104	100	15-41	Won 1
57	March 2	@ Portland	Loss	95	112	15-42	Lost 1
58	March 4	Washington	Loss	106	107	15-43	Lost 2
59	March 6	Atlanta	Loss	104	117	15-44	Lost 3
60	March 9	@ Washington	Win	99	93	16-44	Won 1
61	March 11	@ Minnesota	Loss	100	104	16-45	Lost 1
62	March 12	Chicago	Loss	104	108	16-46	Lost 2
63	March 14	Minnesota	Win	109	95	17-46	Won 1
64	March 15	Charlotte	Loss	99	107	17-47	Lost 1
65	March 18	@ Toronto	Loss	105	117	17-48	Lost 2
66	March 19	New York	Loss	100	111	17-49	Lost 3
67	March 21	New Jersey	Win	112	110	18-49	Won 1
68	March 26	@ New Jersey	Loss	105	123	18-50	Lost 1
69	March 28	Boston	Win	113	105	19-50	Won 1
70	March 30	@ Detroit	Win	96	92	20-50	Won 2
71	April 1	@ Orlando	Win	105	93	21-50	Won 3
72	April 2	Toronto	Loss	90	112	21-51	Lost 1
73	April 4	Indiana	Loss	103	114	21-52	Lost 2
74	April 5	@ Charlotte	Loss	113	115	21-53	Lost 3
75	April 7	@ Chicago	Loss	102	128	21-54	Lost 4
76	April 9	Atlanta	Loss	101	116	21-55	Lost 5
77	April 11	@ Milwaukee	Loss	118	126	21-56	Lost 6
78	April 12	@ Cleveland	Loss	118	125	21-57	Lost 7
79	April 14	Washington	Loss	110	131	21-58	Lost 8
80	April 16	@ New Jersey	Win	113	105	22-58	Won 1
81	April 18	Boston	Loss	113	119	22-59	Lost 1
82	April 19	@ Atlanta	Loss	104	136	22-60	Lost 2
