Rank	Name	Nation	Placings	Figures	Free	Total
1	Ája Vrzáňová	Czechoslovakia	12	790.65	568.51	1359.16
2	Jeannette Altwegg	United Kingdom	18	789.71	556.00	1345.71
3	Yvonne Sherman	United States	23	782.48	548.10	1330.58
4	Suzanne Morrow	Canada	24	766.38	553.35	1319.73
5	Sonya Klopfer	United States	*37	734.18	560.93	1295.11
6	Jacqueline du Bief	France	36	741.53	560.93	1302.46
7	Virginia Baxter	United States	54	715.28	552.41	1267.69
8	Jiřína Nekolová	Czechoslovakia	62	755.18	491.98	1247.16
9	Marlene Smith	Canada	64	719.60	537.83	1257.43
10	Barbara Watt	United Kingdom	69	725.78	514.03	139.81
11	Andra McLauchlin	United States	74	707.70	525.11	1232.81
12	Dagmar Lerchova	Czechoslovakia	83	714.93	499.56	1214.49
13	Valda Osborn	United Kingdom	85	704.78	496.18	1200.96
14	Beryl Bailey	United Kingdom	94	689.15	501.31	1190.46
