Title	Writer	Doctor	Format	Company	release date
Doctor Who and the Pescatons	Pemberton, Victor Victor Pemberton	04 Fourth Doctor	LP Cassette	Decca	1976-07-01 July 1976
Slipback	Saward, Eric Eric Saward	06 Sixth Doctor	Cassette	BBC Audio	1988-11-07 7 November 1988
The Paradise of Death	Letts, Barry Barry Letts	03 Third Doctor	Cassette	BBC Audio	1993-11-07 7 November 1993
The Ghosts of N-Space	Letts, Barry Barry Letts	03 Third Doctor	Cassette	BBC Audio	1996-02-09 19 February 1996
Exploration Earth	Venebles, Bernard Bernard Venables	04 Fourth Doctor	CD	BBC Audio	2001-07-02 2 July 2001
Death Comes to Time	Meek, Colin Colin Meek	07 Seventh Doctor	3-CD	BBC Audio	2002-10-28 28 October 2002
Real Time	Russell, Gary Gary Russell	06 Sixth Doctor	2-CD	Big Finish	2002-12-12 12 December 2002
Shada	Adams, Douglas Douglas Adams	08 Eighth Doctor	2-CD	Big Finish	2003-12-01 December 2003
The Stuff of Nightmares	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2009-09-03 3 September 2009
The Dead Shoes	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2009-10-08 8 October 2009
The Circus Of Doom	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2009-11-05 11 November 2009
A Sting in the Tale	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2009-12-03 2 December 2009
Hive of Horror	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2009-12-03 2 December 2009
The Relics of Time	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2010-09-02 2 September 2010
The Demon of Paris	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2010-10-07 7 October 2010
A Shard of Ice	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2010-11-04 4 November 2010
Starfall	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2010-12-02 2 December 2010
Sepulchre	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2010-12-02 2 December 2010
Tsar Wars	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2011-09-08 8 September 2011
The Broken Crown	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2011-10-06 6 October 2011
Aladdin Time	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2011-11-03 3 November 2011
The Hexford Invasion	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2011-12-01 December 2011
Survivors in Space	Magrs, Paul Paul Magrs	04 Fourth Doctor	CD	BBC Audio	2011-12-01 December 2011
