Name	Nationality	Position	Aberdeen career	Total appearances	Total goals
Jack Allister Category:Articles with hCards	Scotland Scotland	MF	1952–1958	117	20
Sone Aluko Category:Articles with hCards	Nigeria Nigeria	MF	2007–2011	127	13
Chris Anderson Category:Articles with hCards	Scotland Scotland	DF	1948–1953	71	1
George Anderson Category:Articles with hCards	Scotland Scotland	GK	1914–1922	213	0
Russell Anderson Category:Articles with hCards	Scotland Scotland	DF	1996–2007 2012–present	362	18
Ian Angus Category:Articles with hCards	Scotland Scotland	MF	1980–1987	120	12
Bobby Archibald Category:Articles with hCards	Scotland Scotland	MF	1914–1920	113	16
Steve Archibald Category:Articles with hCards	Scotland Scotland	FW	1977–1980	110	46
Matt Armstrong Category:Articles with hCards	Scotland Scotland	FW	1931–1946	238	160
Archie Baird Category:Articles with hCards	Scotland Scotland	MF	1946–1953	169	46
Dougie Bell Category:Articles with hCards	Scotland Scotland	MF	1979–1985	184	14
Dave Bennett Category:Articles with hCards	Scotland Scotland	DF	1960–1966	111	0
Jackie Benyon Category:Articles with hCards	Wales Wales	MF	1932–1937	140	37
Paul Bernard Category:Articles with hCards	Scotland Scotland	MF	1995–2001	124	8
Jim Bett Category:Articles with hCards	Scotland Scotland	MF	1985–1994	337	48
Eric Black Category:Articles with hCards	Scotland Scotland	FW	1981–1986	116	46
Jimmy Black Category:Articles with hCards	Scotland Scotland	DF	1927–1932	169	4
Harry Blackwell Category:Articles with hCards	England England	GK	1921–1930	251	0
Henning Boel Category:Articles with hCards	Denmark Denmark	DF	1964–1974	150	4
Scott Booth Category:Articles with hCards	Scotland Scotland	FW	1989–1997 2003–2004	184	51
Dod Brewster Category:Articles with hCards	Scotland Scotland	MF	1913–1920	119	9
Ken Brownlee Category:Articles with hCards	Scotland Scotland	MF	1955–1963	166	39
Robert Bruce Category:Articles with hCards	Scotland Scotland	FW	1924–1928	109	45
Duff Bruce Category:Articles with hCards	Scotland Scotland	DF	1923–1928	111	0
Martin Buchan Category:Articles with hCards	Scotland Scotland	DF	1966–1972	189	11
Paddy Buckley Category:Articles with hCards	Scotland Scotland	FW	1952–1957	153	90
Ian Burns Category:Articles with hCards	Scotland Scotland	MF	1957–1966	192	6
Dave Caldwell Category:Articles with hCards	Scotland Scotland	DF	1953–1960	176	0
Alec Cheyne Category:Articles with hCards	Scotland Scotland	FW	1925–1930	138	55
Bobby Clark Category:Articles with hCards	Scotland Scotland	GK	1965–1980	595	0
Chris Clark Category:Articles with hCards	Scotland Scotland	MF	1997–2008 2011–present	277	13
Jim Clunie Category:Articles with hCards	Scotland Scotland	DF	1953–1960	141	9
Donald Colman Category:Articles with hCards	Scotland Scotland	DF	1907–1920	347	1
Jacky Connon Category:Articles with hCards	Scotland Scotland	FW	1919–1923	106	25
Robert Connor Category:Articles with hCards	Scotland Scotland	MF	1986–1994	263	22
Andrew Considine Category:Articles with hCards	Scotland Scotland	DF	2003–present	230	12
Charlie Cooke Category:Articles with hCards	Scotland Scotland	MF	1960–1965	165	30
Neale Cooper Category:Articles with hCards	Scotland Scotland	DF	1980–1986	220	10
Willie Cooper Category:Articles with hCards	Scotland Scotland	DF	1927–1948	392	3
Doug Coutts Category:Articles with hCards	Scotland Scotland	DF	1960–1964	121	4
Andy Cowie Category:Articles with hCards	Scotland Scotland	MF	1938–1948	102	0
Duncan Davidson Category:Articles with hCards	Scotland Scotland	FW	1974–1981	112	28
Norrie Davidson Category:Articles with hCards	Scotland Scotland	FW	1955–1961	146	84
Stewart Davidson Category:Articles with hCards	Scotland Scotland	DF	1905–1917 1923–1924	152	1
Zander Diamond Category:Articles with hCards	Scotland Scotland	DF	2002–2011	249	19
Billy Dodds Category:Articles with hCards	Scotland Scotland	FW	1994–1999	172	67
Frank Dunlop Category:Articles with hCards	Scotland Scotland	DF	1936–1948	185	2
Jock Edward Category:Articles with hCards	Scotland Scotland	DF	1924–1928	101	3
Don Emery Category:Articles with hCards	Wales Wales	DF	1948–1952	124	25
Ryan Esson Category:Articles with hCards	Scotland Scotland	GK	1996–2006	100	0
Dickie Ewen Category:Articles with hCards	Scotland Scotland	MF	1957–1961	106	24
Willie Falconer Category:Articles with hCards	Scotland Scotland	FW	1982–1988	100	17
Eddie Falloon Category:Articles with hCards	Ireland Ireland	DF	1927–1938	251	6
Jim Forrest Category:Articles with hCards	Scotland Scotland	FW	1968–1973	186	61
Matt Forsyth Category:Articles with hCards	Scotland Scotland	DF	1920–1926	185	0
Ricky Foster Category:Articles with hCards	Scotland Scotland	DF	2001–2012	272	9
Bob Fraser Category:Articles with hCards	Scotland Scotland	MF	1931–1938	215	4
Willie Garner Category:Articles with hCards	Scotland Scotland	DF	1975–1981	161	3
Hans Gillhaus Category:Articles with hCards	Netherlands Netherlands	FW	1989–1992	100	31
Stephen Glass Category:Articles with hCards	Scotland Scotland	MF	1994–1998	131	13
Archie Glen Category:Articles with hCards	Scotland Scotland	MF	1947–1960	269	27
Arthur Graham Category:Articles with hCards	Scotland Scotland	MF	1970–1977	298	45
Brian Grant Category:Articles with hCards	Scotland Scotland	MF	1984–1996	332	32
Walter Grant Category:Articles with hCards	Scotland Scotland	MF	1915–1924	100	12
Alex Halkett Category:Articles with hCards	Scotland Scotland	MF	1904–1909	129	2
George Hamilton Category:Articles with hCards	Scotland Scotland	FW	1937–1954	291	159
Bobby Hannah Category:Articles with hCards	Scotland Scotland	DF	1911–1921	126	1
Joe Harper Category:Articles with hCards	Scotland Scotland	FW	1969–1973 1976–1981	300	199
Tony Harris Category:Articles with hCards	Scotland Scotland	MF	1946–1953	272	30
Michael Hart Category:Articles with hCards	Scotland Scotland	DF	1997–2000 2003–2008	145	0
Jack Hather Category:Articles with hCards	England England	FW	1948–1960	354	105
Jim Hermiston Category:Articles with hCards	Scotland Scotland	DF	1965–1975	271	16
John Hewitt Category:Articles with hCards	Scotland Scotland	FW	1979–1989	361	90
Frank Hill Category:Articles with hCards	Scotland Scotland	DF	1928–1932	106	10
Jimmy Hogg Category:Articles with hCards	Scotland Scotland	DF	1953–1965	279	1
Jock Hume Category:Articles with hCards	Scotland Scotland	DF	1907–1920	304	3
Jock Hutton Category:Articles with hCards	Scotland Scotland	DF	1919–1927	279	17
John Inglis Category:Articles with hCards	Scotland Scotland	DF	1994–1998	121	5
Brian Irvine Category:Articles with hCards	Scotland Scotland	DF	1985–1997	384	40
Willie Jackson Category:Articles with hCards	Scotland Scotland	DF	1925–1932	202	8
Drew Jarvie Category:Articles with hCards	Scotland Scotland	FW	1972–1982	386	130
Eoin Jess Category:Articles with hCards	Scotland Scotland	MF	1987–1996 1997–2001	379	94
George Johnstone Category:Articles with hCards	Scotland Scotland	GK	1936–1949	220	0
Paul Kane Category:Articles with hCards	Scotland Scotland	MF	1991–1995	141	13
Stuart Kennedy Category:Articles with hCards	Scotland Scotland	DF	1976–1983	333	9
George Kinnell Category:Articles with hCards	Scotland Scotland	MF	1959–1964	165	25
Jamie Langfield Category:Articles with hCards	Scotland Scotland	GK	2005–present	272	0
Graham Leggat Category:Articles with hCards	Scotland Scotland	MF	1953–1958	152	92
Jim Leighton Category:Articles with hCards	Scotland Scotland	GK	1978–1988 1997–2000	535	0
Willie Lennie Category:Articles with hCards	Scotland Scotland	MF	1905–1913	253	67
Billy Little Category:Articles with hCards	Scotland Scotland	FW	1957–1968	303	96
Andy Love Category:Articles with hCards	Scotland Scotland	FW	1925–1934	240	83
Henry Low Category:Articles with hCards	Scotland Scotland	MF	1903–1907	103	23
Wilf Low Category:Articles with hCards	Scotland Scotland	DF	1904–1916	165	3
Rab MacFarlane Category:Articles with hCards	Scotland Scotland	GK	1904–1908	123	0
Darren Mackie Category:Articles with hCards	Scotland Scotland	FW	1998–2012	364	69
Bert MacLachlan Category:Articles with hCards	Scotland Scotland	DF	1914–1927	361	16
Josh Magennis Category:Articles with hCards	Northern Ireland Northern Ireland	FW	2010–present	103	11
Chris Maguire Category:Articles with hCards	Scotland Scotland	FW	2005–2011	158	22
Dave Main Category:Articles with hCards	Scotland Scotland	FW	1911–1917	166	58
Fred Martin Category:Articles with hCards	Scotland Scotland	GK	1950–1959	296	0
Paul Mason Category:Articles with hCards	England England	MF	1988–1993	193	37
Jamie McAllister Category:Articles with hCards	Scotland Scotland	DF	1999–2003	144	1
Bob McDermid Category:Articles with hCards	Scotland Scotland	FW	1925–1932	270	48
Frank McDougall Category:Articles with hCards	Scotland Scotland	FW	1984–1986	69	44
Mark McGhee Category:Articles with hCards	Scotland Scotland	FW	1979–1984	250	100
Phil McGuire Category:Articles with hCards	Scotland Scotland	DF	1999–2005	180	10
Charlie McGill Category:Articles with hCards	Scotland Scotland	DF	1931–1938	238	1
Derek McKay Category:Articles with hCards	Scotland Scotland	FW	1969–1971	19	4
Pat McKenna Category:Articles with hCards	Scotland Scotland	DF	1944–1952	206	0
Johnny McKenzie Category:Articles with hCards	Scottish Scotland	1935–1939	119	21	—
Stewart McKimmie Category:Articles with hCards	Scotland Scotland	DF	1983–1997	561	9
Hugh McLaren Category:Articles with hCards	Scotland Scotland	DF	1928–1932	113	5
Alex McLeish Category:Articles with hCards	Scotland Scotland	DF	1976–1994	693	30
Chic McLelland Category:Articles with hCards	Scotland Scotland	DF	1972–1979	213	5
John McMaster Category:Articles with hCards	Scotland Scotland	MF	1972–1986	315	12
Tommy McMillan Category:Articles with hCards	Scotland Scotland	DF	1965–1972	248	2
Kevin McNaughton Category:Articles with hCards	Scotland Scotland	DF	1998–2006	202	3
Billy Middleton Category:Articles with hCards	Scotland Scotland	1920–1923	126	8	—
Joe Miller Category:Articles with hCards	Scotland Scotland	FW	1984–1987 1993–1998	265	47
Johnny Miller Category:Articles with hCards	Scotland Scotland	FW	1921–1927	124	61
Lee Miller Category:Articles with hCards	Scotland Scotland	FW	2006–2010	144	33
Willie Miller Category:Articles with hCards	Scotland Scotland	DF	1972–1990	797	32
Willie Mills Category:Articles with hCards	Scotland Scotland	FW	1932–1938	211	114
Vic Milne Category:Articles with hCards	Scotland Scotland	DF	1920–1923	123	7
Jimmy Mitchell Category:Articles with hCards	Scotland Scotland	DF	1952–1958	184	0
George Mulhall Category:Articles with hCards	Scotland Scotland	FW	1953–1962	150	42
George Murray Category:Articles with hCards	Scotland Scotland	DF	1967–1973	127	4
Steve Murray Category:Articles with hCards	Scotland Scotland	MF	1970–1973	140	25
Charlie Nicholas Category:Articles with hCards	Scotland Scotland	FW	1987–1990	104	36
Barry Nicholson Category:Articles with hCards	Scotland Scotland	MF	2005–2008	125	21
John Ogston Category:Articles with hCards	Scotland Scotland	GK	1957–1965	230	0
Charles O'Hagan Category:Articles with hCards	Ireland Ireland	FW	1906–1910	112	24
Mixu Paatelainen Category:Articles with hCards	Finland Finland	FW	1992–1994	93	28
Tommy Pearson Category:Articles with hCards	Scotland Scotland	MF	1948–1953	114	16
Jens Petersen Category:Articles with hCards	Denmark Denmark	DF	1965–1970	203	11
David Preece Category:Articles with hCards	England England	GK	1999–2005	106	0
Andy Rankine Category:Articles with hCards	Scotland Scotland	1920–1925	158	38	—
Davie Robb Category:Articles with hCards	Scotland Scotland	FW	1965–1978	345	99
Arthur Robertson Category:Articles with hCards	Scotland Scotland	1913–1923	105	6	—
David Robertson Category:Articles with hCards	Scotland Scotland	DF	1985–1991	177	3
Doug Rougvie Category:Articles with hCards	Scotland Scotland	DF	1975–1984	278	21
David Rowson Category:Articles with hCards	Scotland Scotland	MF	1994–2001	156	11
Ian Scanlon Category:Articles with hCards	Scotland Scotland	MF	1978–1981	133	20
Scott Severin Category:Articles with hCards	Scotland Scotland	MF	2004–2009	195	12
Duncan Shearer Category:Articles with hCards	Scotland Scotland	FW	1992–1997	193	79
Ally Shewan Category:Articles with hCards	Scotland Scotland	DF	1960–1969	300	9
Neil Simpson Category:Articles with hCards	Scotland Scotland	MF	1978–1989	310	31
Dave Smith Category:Articles with hCards	Scotland Scotland	MF	1961–1966	166	13
Gary Smith Category:Articles with hCards	Scotland Scotland	DF	1991–1996 1997–1999	249	2
Jamie Smith Category:Articles with hCards	Scotland Scotland	MF	2005–2009	102	18
Jim Smith Category:Articles with hCards	Scotland Scotland	MF	1965–1969	140	37
Jimmy Smith Category:Articles with hCards	Scotland Scotland	MF	1920–1931	335	64
Jimmy Soye Category:Articles with hCards	Scotland Scotland	FW	1909–1915	200	25
Joe Smith Category:Articles with hCards	Scotland Scotland	MF	1972–1979	191	11
Steve Smith Category:Articles with hCards	Scotland Scotland	GK	1930–1937	259	0
Theo Snelders Category:Articles with hCards	Netherlands Netherlands	GK	1988–1996	290	0
Billy Stark Category:Articles with hCards	Scotland Scotland	MF	1983–1987	148	59
Arild Stavrum Category:Articles with hCards	Norway Norway	FW	1999–2001	67	29
Gordon Strachan Category:Articles with hCards	Scotland Scotland	MF	1977–1984	292	90
Tom Strang Category:Articles with hCards	Scotland Scotland	DF	1903–1907	104	3
Bill Strauss Category:Articles with hCards	South Africa South Africa	MF	1936–1945	101	56
Dom Sullivan Category:Articles with hCards	Scotland Scotland	MF	1976–1979	136	14
George Taylor Category:Articles with hCards	Scotland Scotland	MF	1937–1948	110	9
Ian Taylor Category:Articles with hCards	Scotland Scotland	FW	1966–1974	154	28
Douglas Thomson Category:Articles with hCards	Scotland Scotland	1920–1923	107	33	—
Eddie Thomson Category:Articles with hCards	Scotland Scotland	DF	1973–1976	122	2
George Thomson Category:Articles with hCards	Scotland Scotland	MF	1932–1939	246	20
Paddy Travers Category:Articles with hCards	Scotland Scotland	FW	1910–1911 1912–1914	104	24
Scott Vernon Category:Articles with hCards	England England	FW	2010–present	124	35
Joseph Walker Category:Articles with hCards	Scotland Scotland	1911–1917	137	25	—
Andy Watson Category:Articles with hCards	Scotland Scotland	MF	1977–1983	136	17
Peter Weir Category:Articles with hCards	Scotland Scotland	MF	1981–1987	238	38
Derek Whyte Category:Articles with hCards	Scotland Scotland	DF	1997–2002	154	0
Jim Whyte Category:Articles with hCards	Scotland Scotland	1960–1970	152	8	—
Stan Williams Category:Articles with hCards	South Africa South Africa	FW	1938–1949	127	51
Billy Williamson Category:Articles with hCards	Scotland Scotland	MF	1969–1976	125	23
Alex Willoughby Category:Articles with hCards	Scotland Scotland	MF	1969–1974	150	15
George Wilson Category:Articles with hCards	Scotland Scotland	DF	1907–1914	193	14
Jimmy Wilson Category:Articles with hCards	Scotland Scotland	FW	1965–1967	110	35
Ernie Winchester Category:Articles with hCards	Scotland Scotland	FW	1959–1967	169	91
Robbie Winters Category:Articles with hCards	Scotland Scotland	FW	1998–2002	152	45
Bob Wishart Category:Articles with hCards	Scotland Scotland	FW	1952–1961	234	62
Alex Wright Category:Articles with hCards	Scotland Scotland	MF	1913–1922	142	11
Stephen Wright Category:Articles with hCards	Scotland Scotland	DF	1987–1995	181	2
Willie Wylie Category:Articles with hCards	Scotland Scotland	1914–1920	122	12	—
Jock Wyllie Category:Articles with hCards	Scotland Scotland	DF	1910–1920	182	28
Benny Yorston Category:Articles with hCards	Scotland Scotland	FW	1927–1932	156	125
Harry Yorston Category:Articles with hCards	Scotland Scotland	FW	1946–1957	278	141
Alec Young Category:Articles with hCards	Scotland Scotland	DF	1950–1958	220	1
Darren Young Category:Articles with hCards	Scotland Scotland	MF	1995–2003	159	6
Derek Young Category:Articles with hCards	Scotland Scotland	MF	1996–2003 2007–2011	237	22
Willie Young Category:Articles with hCards	Scotland Scotland	DF	1969–1976	188	14
