Week 1	Week 2	Week 3	Week 4	Week 5
Sydney Moon	Heather Christensen	Erin Wills	Nicole Whitehead *	[Month Ended]
Merritt Cabal **	Nikki Lemke	Cathi O'Malley	Lena Li	[Month Ended]
Aubrie Lemon*	Ashley Charlton	Rachel Elizabeth	Jackie Tefertiller	[Month Ended]
Janice Chong	Anika Knudsen	Kylea Grace	Tila Nguyen *	Kylie Lefleur
Jessica Lauren*	Veronica Moore	Michelle Lin	Kaelie Hart	[Month Ended]
Brittany Evans*	Natalie Abramov	Candice Michelle	Kimberly Hiott	[Month Ended]
Jessica DiFeo	Kate Brenner*	Star Zemba	Chera Leigh	Olivia Hammil
Samantha Joseph	Audra Lynn	Tavania Kaye*	Ditra Marie	[Month Ended]
Lani Todd (discontinued)	Anthea Szabo	Loredana Jolie	Mary Beth Decker*	Louize Henziger
Robin Bain	Sara Schwartz	Carmella DeCesare *	Katherine Hadorn	[Month Ended]
Bridget Marquardt	Jennifer Haase	Heather McQuaid*	Arynne Tiller	Jocelyn Caballero
Jaime Lynn	Elizabeth McDonald	Wendy Culp*	Sarah & Rachel Campbell	Paulina Sanchez
