County	Obama %	Obama #	McCain %	McCain #	Others %	Others #
Atlantic	56.9%	67830	41.8%	49902	1.3%	1157
Bergen	54.2%	225367	44.7%	186118	1.1%	4424
Burlington	58.6%	131219	40.1%	89626	1.3%	2930
Camden	67.2%	159259	31.2%	68317	1.4%	3304
Cape May	44.9%	22893	53.5%	27288	1.6%	802
Cumberland	60.0%	34919	38.4%	22360	1.6%	915
Essex	75.9%	240306	23.4%	73975	0.7%	2181
Gloucester	55.2%	77267	43.1%	60315	1.7%	2364
Hudson	72.8%	154140	26.2%	52354	1.0%	2116
Hunterdon	42.5%	29776	55.8%	39092	1.6%	1147
Mercer	67.3%	107926	31.3%	50397	1.4%	2229
Middlesex	60.2%	193812	38.4%	122586	1.4%	4367
Monmouth	47.5%	148737	51.2%	160433	1.4%	4244
Morris	45.4%	112275	53.5%	132331	1.2%	2913
Ocean	40.1%	110189	58.4%	16067	1.5%	4111
Passaic	60.3%	113257	38.7%	71850	1.0%	1904
Salem	50.9%	16044	47.0%	14816	2.1%	672
Somerset	52.4%	79321	46.3%	70085	1.3%	2024
Sussex	38.8%	28840	59.4%	44184	1.9%	1393
Union	63.6%	141417	35.4%	78768	1.0%	2241
