Dates (MDY)	Position	Gross sales	Tickets sold / available	Sellout (%)
05-21-08	3	$2,547,560	16,870 / 16,870	100%
05-28-08	4	$2,569,083	16,962 / 16,962	100%
06-04-08	3	$2,584,217	17,022 / 17,022	100%
06-11-08	12	$2,589,078	17,056 / 17,056	100%
08-16-08	2	$1,895,526	12,477 / 12,808	97%
08-23-08	2	$2,591,497	17,078 / 17,078	100%
08-30-08	5	$2,573,670	17,061 / 17,061	100%
09-13-08	9	$2,538,438	16,634 / 16,945	98%
09-13-08	11	$1,739,643	11,600 / 12,375	94%
09-20-08	10	$1,290,796	8,517 / 8,517	100%
09-27-08	2	$2,596,618	17,081 / 17,081	100%
10-18-08	3	$1,294,960	8,530 / 8,530	100%
03-14-09	2	$3,331,455	22,134 / 23,819	93%
03-28-09	3	$1,844,510	12,606 / 14,909	85%
03-28-09	2	$1,912,403	13,124 / 15,069	87%
04-04-09	6	$1,911,450	13,095 / 15,166	86%
05-09-09	2	$3,294,601	22,442 / 24,595	91%
05-30-09	9	$1,781,525	12,716 / 15,771	81%
06-06-09	1	$3,845,125	26,493 / 29,983	88%
10-10-09	28	$3,199,085	21,939 / 25,176	87%
10-17-09	6	$1,956,710	13,747 / 15,991	86%
10-24-09	5	$2,326,062	15,992/ 16,967	95%
12-12-09	2	$3,221,147	23,432/ 26,914	87%
01-09-10	1	$3,335,106	26,867 / 31,033	87%
01-09-10	10	$1,271,451	11,826 / 14,564	81%
05-08-10	1	$4,910,221	35,343 / 40,168	88%
05-15-10	17	$735,618	5,727 / 7,049	81%
06-12-10	1	$3,411,693	27,243 / 33,324	82%
06-12-10	11	$1,538,211	12,042 / 16,216	74%
07-10-10	6	$1,727,400	14,296 / 16,660	86%
07-10-10	7	$1,553,125	13,255 / 16,565	80%
09-04-10	3	$1,363,671	12,121 / 15,968	76%
10-09-10	5	$2,180,153	18,084 / 23,113	78%
11-20-10	5	$3,630,738	29,043 / 33,560	87%
11-20-10	9	$3,102,204	23,690 / 25,254	94%
11-20-10	4	$3,846,894	30,342, / 33,723	90%
2-26-11	3	$4,577,104	31,131 / 33,038	94%
2-26-11	2	$4,802,550	32,147 / 33,656	96%
