District	Incumbent	Party	First elected	Result
Ohio 1	Benjamin Eggleston	Republican	1864	Re-elected
Ohio 2	Rutherford B. Hayes	Republican	1864	Re-elected
Ohio 3	Robert C. Schenck	Republican	1862	Re-elected
Ohio 4	William Lawrence	Republican	1864	Re-elected
Ohio 5	Francis C. Le Blond	Democratic	1862	Retired Democratic hold
Ohio 6	Reader W. Clarke	Republican	1864	Re-elected
Ohio 7	Samuel Shellabarger	Republican	1864	Re-elected
Ohio 8	James Randolph Hubbell	Republican	1864	Retired Republican hold
Ohio 9	Ralph P. Buckland	Republican	1864	Re-elected
Ohio 10	James M. Ashley	Republican	1862	Re-elected
Ohio 11	Hezekiah S. Bundy	Republican	1864	Retired Republican hold
Ohio 12	William E. Finck	Democratic	1862	Retired Democratic hold
Ohio 13	Columbus Delano	Republican	1864	Lost Re-election Democratic gain
Ohio 14	Martin Welker	Republican	1864	Re-elected
Ohio 15	Tobias A. Plants	Republican	1864	Re-elected
Ohio 16	John Bingham	Republican	1864	Re-elected
Ohio 17	Ephraim R. Eckley	Republican	1862	Re-elected
Ohio 18	Rufus P. Spalding	Republican	1862	Re-elected
Ohio 19	James A. Garfield	Republican	1862	Re-elected
