Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
Ian Banks	MF	41	9	2	0	2	0	1	0	46	9
Mark Barham	MF	24 (2)	1	0	0	1 (1)	1	1	0	26 (3)	2
Junior Bent	MF	5 (2)	0	0 (1)	0	0	0	0	0	5 (3)	0
Ian Bray	DF	29 (1)	0	3	0	0	0	1	0	33 (1)	0
Malcolm Brown	DF	23 (2)	0	2	0	1	0	0	0	26 (2)	0
David Burke	DF	10	0	0	0	2	0	0	0	12	0
Vince Chapman	DF	4 (2)	0	0	0	0	0	0	0	4 (2)	0
Graham Cooper	FW	20 (5)	5	0 (2)	0	0 (1)	0	0	0	20 (8)	5
David Cork	FW	36	8	3	0	2	0	1	0	42	8
David Cowling	MF	5 (1)	0	0	0	1	0	0	0	6 (1)	0
Brian Cox	GK	20	0	3	0	2	0	0	0	25	0
Paul France	DF	5 (3)	0	3	0	0	0	0	0	8 (3)	0
Chris Hutchings	DF	23	0	0	0	0	0	0	0	23	0
Paul Kirkham	FW	0 (1)	0	0	0	0	0	0	0	0 (1)	0
Carl Madrick	FW	3 (5)	1	0	0	0	0	0	0	3 (5)	1
Lee Martin	GK	18	0	0	0	0	0	1	0	19	0
Andy May	MF	27 (1)	3	3	0	2	0	1	0	33 (1)	3
Seamous McDonagh	GK	6	0	0	0	0	0	0	0	6	0
Willie McStay	DF	4 (4)	0	0	0	0	0	1	0	5 (4)	0
Graham Mitchell	DF	28 (1)	1	3	0	0	0	0	0	31 (1)	1
Duncan Shearer	FW	31 (2)	10	3	2	2	4	1	0	37 (2)	16
Malcolm Shotton	DF	14	0	0	0	0	0	0	0	14	0
Simon Trevitt	DF	31 (6)	1	3	0	2	0	0	0	36 (6)	1
Gordon Tucker	DF	19 (4)	0	0 (1)	0	2	0	0 (1)	0	21 (6)	0
Steve Walford	DF	12	0	0	0	0	0	1	0	13	0
Peter Ward	FW	19 (7)	2	2	0	1	0	1	0	23 (7)	2
Simon Webster	DF	22	0	3	0	2	0	1	0	28	0
Julian Winter	MF	5 (2)	0	0	0	0	0	0 (1)	0	5 (3)	0
