PRINT NAME	NICKNAME	NUMBER OF COLORS	FRAMED SIZE	DATE COMPLETED
01474 Equalizer	N/A	Unknown	Unknown	Unknown
Sweet Break	N/A	Unknown	Unknown	Unknown
Intermission	Candy Machine	33	17" x 20.5"	10/79
Progress Around Johnson's	Johnson's Full	40	20" x 26"	07/81
For Ice See Clerk In Store	Ice Box	26	14" x 18"	09/81
If You Can't Find It Ask	Front Door	22	14" x 18"	08/81
For Local Calls Deposit 20c	Telephone	Unknown	14" x 18"	11/81
Johnson's Store All A Glo	Johnson's Neon	26	14" x 32"	01/82
Demolition Man	Demo Man	45	26" x 32"	08/82
Escaping Steam	Steam	14	12.5" x 17.25"	09/82
It Will Be Ready At Five	Garage	26	26" x 32"	09/83
Two Burgers Fries And Coffee	Little Tavern	Unknown	26" x 32"	05/84
Man's Best Friend in 2084	Robot Black	14	26" x 34"	09/84
Man's Best Friend in 2084	Robot Gold	14	26" x 34"	09/84
Man's Best Friend in 2084	Robot Silver	14	26" x 34"	09/84
Man's Best Friend in 2084	Robot Copper	14	26" x 34"	09/84
National Facelift	Liberty	14	14" x 32"	12/84
Hot Doughnuts Now	Krispy Kreme	Unknown	26" x 32"	03/85
We'll Have Oil In Your Tank...	Fannon Oil	Unknown	26" x 32"	04/85
One Cheeseburger Sub-To Go	Little Tavern	Unknown	26" x 32"	Unknown
Puzzling Name For An Art Center	Torpedo Factory	Unknown	14" x 17"	Unknown
On A Universal Tour	Halley	36	14" x 32"	12/85
Club LT All A Glow	Club LT	30	20" x 26"	03/86
Metropolitan Curfew	Metro	32	14" x 32"	06/86
Patriotic Emblem	Small McD	12	18" x 24"	10/86
Corporate Infant	McD	32	18" x 24"	10/86
Radio Daze	Radio	25	11" x 14"	04/87
Video Fix	Bob's TV	30	11" x 14"	07/87
Lock-Smith	Wig	35	11" x 14"	08/87
G.C. & Co.	Murphy's	12	11" x 14"	09/87
Suppression Of The Masses	Corset	65	26" x 32"	05/88
Spirited Glow	Central	20	18" x 24"	06/88
High Voltage Speedee	Speedee	32	26" x 32"	08/88
Goodbye Luminous Market	Santullos	32	16" x 34"	01/89
Bug Busters	Bug	15	11" x 14"	03/89
Last Call	Whitlow's	30	20" x 26"	05/89
Pastry Palace	Brenners	30	20" x 26"	08/89
Tubular Swine	Dixie	60	26" x 32"	01/90
Royal View	Roller Rink	48	26" x 32"	09/90
Aspiring Market	Giant	45	14" x 32"	12/90
Sails	Hobie	8	14" x 17"	01/91
Too Late	Key Lime	17	11" x 14"	02/91
Burning Bright Tonight	Shorty's	30	20" x 26"	03/91
Coin Slot	Bank	60	16" x 34"	08/91
Celebration	Fireworks	31	26" x 32"	12/91
2000 Park	Collins Park	17	9" x 11"	02/92
1000 Collins	Fairmont	17	9" x 11"	02/92
720 Ocean	Beacon	17	9" x 11"	02/92
1220 Collins	Webster	17	9" x 11"	02/92
1420 Ocean Dr.	Crescent	17	12" x 18"	02/92
Miami Set	All 4 Miami	17	10.5" x 25.5"	02/92
Flemish Bond (Alex. House)	Brick	10	11" x 14"	07/92
Subterranean Jewels	Grand Central	Unknown	27" x 33"	Unknown
