Date	Internet Explorer	Chrome	Firefox	Safari
Desktop+Laptop	Mobile	Total	Desktop+Laptop	Total
July 2013	20.27%	36.29%	16.60%	4.27%
June 2013	21.35%	35.82%	16.79%	3.79%
May 2013	23.67%	35.66%	16.87%	3.67%
April 2013	25.58%	33.71%	17.27%	3.76%
March 2013	25.08%	32.88%	17.86%	3.90%
February 2013	25.54%	31.96%	18.28%	3.89%
January 2013	26.37%	31.51%	18.39%	3.64%
December 2012	26.30%	31.12%	18.71%	3.37%
November 2012	27.15%	31.05%	19.74%	3.01%
October 2012	28.13%	30.49%	19.57%	2.91%
September 2012	28.77%	30.01%	19.70%	2.79%
August 2012	28.98%	29.63%	20.16%	2.83%
July 2012	28.49%	30.06%	21.01%	2.77%
June 2012	28.95%	29.35%	22.00%	2.54%
May 2012	28.87%	29.15%	22.97%	2.31%
April 2012	30.81%	28.24%	22.49%	2.27%
March 2012	31.68%	28.09%	22.73%	2.15%
February 2012	32.70%	27.24%	22.76%	2.16%
January 2012	34.27%	25.99%	22.68%	1.92%
December 2011	35.54%	25.08%	23.24%	1.82%
November 2011	37.81%	23.90%	23.48%	1.67%
October 2011	37.55%	23.36%	24.66%	1.53%
September 2011	38.85%	22.02%	24.98%	1.42%
August 2011	38.91%	21.51%	25.53%	1.37%
July 2011	39.47%	20.59%	25.99%	1.40%
June 2011	40.73%	19.30%	26.49%	4.74%
