Date	Opponent	Score	Loss	Record
September 1	Mariners	4 - 2	Villone (5-5)	55-78
September 2	Mariners	8 - 6	Baek (1-1)	56-78
September 3	Athletics	7 - 4	Lilly (9-10)	56-79
September 4	Athletics	9 - 5	Frasor (4-5)	56-80
September 5	Athletics	13 - 5	Harden (9-6)	57-80
September 7	@ Angels	5 - 2	Bush (3-4)	57-81
September 8	@ Angels	1 - 0	Escobar (9-10)	58-81
September 9	@ Angels	5 - 4	Washburn (11-6)	59-81
September 10	@ Rangers	10 - 3	Batista (10-11)	59-82
September 11	@ Rangers	10 - 7	Frasor (4-6)	59-83
September 12	@ Rangers	7 - 6	Speier (3-7)	59-84
September 13	Orioles	9 - 1	Miller (3-4)	59-85
September 15	Orioles	3 - 0	Riley (1-4)	60-85
September 16	Orioles	9 - 5	Batista (10-12)	60-86
September 17	Devil Rays	11 - 4	Towers (9-6)	60-87
September 18	Devil Rays	4 - 2	Ritchie (0-1)	61-87
September 19	Devil Rays	9 - 7	Kazmir (2-2)	62-87
September 20	@ Yankees	6 - 3	Vázquez (14-10)	63-87
September 21	@ Yankees	5 - 3	Halladay (7-8)	63-88
September 22	@ Yankees	5 - 4	Hernández (8-1)	64-88
September 24	@ Devil Rays	4 - 2	Towers (9-7)	64-89
September 25	@ Devil Rays	6 - 5	Batista (10-13)	64-90
September 26	@ Devil Rays	Postponed (rain) Not rescheduled	Postponed (rain) Not rescheduled	Postponed (rain) Not rescheduled
September 27	@ Orioles	4 - 1	Ponson (11-15)	65-90
September 28	@ Orioles	Postponed (rain) Rescheduled for September 29	Postponed (rain) Rescheduled for September 29	Postponed (rain) Rescheduled for September 29
September 29	@ Orioles	7 - 6	Speier (3-8)	65-91
September 29	@ Orioles	4 - 0	Chacín (1-1)	65-92
September 30	@ Orioles	9 - 3	Towers (9-8)	65-93
