Rank	Name	Nation	Points	Placings
1	Krisztina Regőczy / András Sallay	Hungary	205.58	13
2	Natalia Linichuk / Gennadi Karponosov	Soviet Union	204.50	18
3	Irina Moiseeva / Andrei Minenkov	Soviet Union	202.42	24
4	Jayne Torvill / Christopher Dean	United Kingdom	199.12	35
5	Lorna Wighton / John Dowding	Canada	195.18	48
6	Judy Blumberg / Michael Seibert	United States	194.12	52
7	Natalia Karamysheva / Rostislav Sinitsyn	Soviet Union	189.66	63
8	Stacey Smith / John Summers	United States	187.12	72
9	Henriette Fröschl / Christian Steiner	West Germany	184.02	80
10	Karen Barber / Nicky Slater	United Kingdom	178.94	92
11	Jana Berankova / Jan Bartak	Czechoslovakia	176.16	97
12	Nathalie Herve / Pierre Bechu	France	171.24	108
13	Marie McNeil / Robert McCall	Canada	168.58	116
14	Jindra Hola / Karol Foltan	Czechoslovakia	162.60	132
15	Noriko Sato / Tadeyuki Takahashi	Japan	162.02	133
16	Gabriella Remport / Sándor Nagy	Hungary	159.52	142
17	Paola Casalotti / Sergio Ceserani	Italy	158.50	150
