Round	Pick	Overall	Name	Position	College
1	4	4	Cal Rossi [a ]	RB	UCLA
3	4	17	Red Knight	RB	Louisiana State
5	3	28	Hank Foldberg	E	Army
6	4	39	Mike Garzoni	G	Southern California
7	3	48	Bill Gray	G	Oregon State
8	4	59	Hank Harris	G	Texas
9	3	68	Roy Kurrasch	E	UCLA
10	4	79	Ernie Williamson	OT	North Carolina
11	3	88	L. G. Carmody	RB	Central Washington
12	4	99	U. S. Savage	E	Richmond
13	3	108	Bob Steckroth	E	William & Mary
14	4	119	Weldon Edwards	OT	Texas Christian
15	3	128	Earl Wheeler	C	Arkansas
16	4	139	Billy Gold	RB	Tennessee
17	3	148	Jack Hart	OT	Detroit Mercy [e ]
18	4	159	Tom Nichols	RB	Richmond
19	3	168	Harry Dowda	DB	Wake Forest
20	4	179	Charlie Webb	E	Louisiana State
21	3	188	Elmo Bond	OT	Washington State
22	4	199	Jim Hefti	RB	St. Lawrence
23	3	208	Tom Dudley	E	Virginia
24	4	219	Bob Smith	DB	Iowa
25	3	228	Hal Mullins	OT	Duke
26	4	239	Francis Bocoka	E	Washington State
27	3	248	Otis Sacrinty	RB	Wake Forest
28	4	259	Milt Dropo	C	Connecticut
29	3	268	Lynn Brownson	RB	Stanford
30	4	279	Joe Colone	RB	Penn State
31	1	286	Herb Shoener	E	Iowa
32	2	295	Bob Pievo	OT	Purdue
