Name	Years	Seasons	Lost	Pct.
No coach	1892–1902	10	31	.516
W. Augustus Lee	1903–1904	2	6	.631
William Earle	1905	1	7	.423
George Needham	1906	1	7	.125
Dicky James	1907	1	6	.647
Frank Lohr	1908	1	3	.750
Dick Reid	1909	1	6	.647
Bill Breitenstein	1910	1	5	.688
P.L. Wright	1911	1	6	.647
James G. Driver	1912–1913	2	19	.536
G.I. Guerrant	1914	1	7	.625
Syd Smith	1915	1	11	.353
Bill Clark	1916 1921–1924	5	49	.438
Dixon Foster	1917–1920	4	51	.350
Branch Bocock	1925–1927	3	21	.447
Billy Laval	1928–1934	7	33	.728
Dutch Stamman	1935–1937	3	25	.420
Catfish Smith	1938–1939 1946–1947	4	48	.455
Ted Petoskey	1940–1942 1948–1956	12	120	.485
Kay Kirven	1943	1	6	.455
H.W. Klocker	1944	1	4	.500
Johnny McMillan	1945	1	4	.667
Joe Grugan	1957–1963	7	93	.354
Bob Reising	1964–1965	2	24	.564
Dick Weldon	1966	1	8	.652
Jack Powers	1967–1969	3	40	.540
Bobby Richardson	1970–1976	7	91	.706
June Raines	1977–1996	20	380	.667
Ray Tanner	1997–2012	16	313	.701
Chad Holbrook	2013–present	1	20	.683
All-Time	All-Time	118	1413	.617
