Game	February	Opponent	Score	Record
46	1	@ Boston Bruins	3 - 2	17-20-9
47	2	@ Montreal Canadiens	4 - 1	17-21-9
48	5	@ Detroit Red Wings	5 - 5	17-21-10
49	9	@ Chicago Black Hawks	5 - 3	18-21-10
50	12	Detroit Red Wings	4 - 0	19-21-10
51	15	Boston Bruins	2 - 2	19-21-11
52	18	@ Montreal Canadiens	4 - 2	20-21-11
53	19	Toronto Maple Leafs	2 - 1	21-21-11
54	22	Chicago Black Hawks	3 - 0	22-21-11
55	23	@ Chicago Black Hawks	7 - 3	23-21-11
56	25	@ Toronto Maple Leafs	4 - 2	23-22-11
57	26	Boston Bruins	4 - 3	24-22-11
